companion_problem_id	semantic_unit_id	representative_problem_id	thematic_section	related_chapters	atlas_editorial_status	source_problem_ids	statement_source_file	statement_line_range	statement_status	solution_status	primary_solution_id	primary_solution_source_file	primary_solution_line_range	distinct_solution_variants	alternate_solution_ids	figure_requirement	figure_status	migration_status	notes
CP-IV-0011	SEM-0D8B237E846A	IMP-DL-CB3C80FF97-P024	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P024;IMP-M2-7B5A4788C1-P024	Downloads/theory-of-complex-analysis-topology.tex	L1031-L1031	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0012	SEM-0EBC166D5960	IMP-DL-887B7B83F4-P008	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-887B7B83F4-P008	Downloads/sheaves_notes_reorganized.tex	L2302-L2430	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0013	SEM-0F4A0C3C3614	IMP-DL-0A181AC273-P008	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-0A181AC273-P008;IMP-M2-80AFB5AE64-P008	Downloads/theory-of-complex-analysis.tex	L268-L278	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0014	SEM-10ED62F6C369	IMP-DL-D4351A3BBD-P023	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-D4351A3BBD-P023;IMP-M2-721AD91C7F-P023	Downloads/theory-of-geometry-IV.tex	L1741-L1756	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0014_holomorphic_inversion.tex
CP-IV-0015	SEM-129C112776D7	IMP-DL-F77C60E8D1-P003	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-F77C60E8D1-P003;IMP-M2-09C070ED26-P003	Downloads/theory-of-complex-analysis-next2.tex	L598-L631	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-F77C60E8D1-S003	Downloads/theory-of-complex-analysis-next2.tex	L632-L711	1		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0015_principal_value_deleted_arc.tex
CP-IV-0016	SEM-13604320D485	IMP-DL-0E1AFE9FFD-P006	Global Complex Analysis	IV/12--IV/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-0E1AFE9FFD-P006;IMP-DL-141F3478CC-P006;IMP-DL-AA5DDA8809-P006;IMP-DL-FB19C24E92-P006;IMP-M2-2BDEE85382-P006;IMP-M2-6F2E5F9B11-P006;IMP-M2-7785C781E9-P006;IMP-M2-F295E7C0B9-P006	Downloads/theory-of-complex-analysis-all-maps-all2.tex	L619-L1028	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0016_two_circles_mapping_pipeline.tex
CP-IV-0017	SEM-14E1A9CDA566	IMP-DL-0A181AC273-P003	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-0A181AC273-P003;IMP-M2-80AFB5AE64-P003	Downloads/theory-of-complex-analysis.tex	L229-L240	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0018	SEM-1943F7F33D26	IMP-DL-CB3C80FF97-P021	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P021;IMP-M2-7B5A4788C1-P021	Downloads/theory-of-complex-analysis-topology.tex	L888-L890	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-CB3C80FF97-S014	Downloads/theory-of-complex-analysis-topology.tex	L891-L919	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0019	SEM-1BB7131F73D7	IMP-DL-D4351A3BBD-P013	Global Complex Analysis	IV/12--IV/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-D4351A3BBD-P013;IMP-M2-721AD91C7F-P013	Downloads/theory-of-geometry-IV.tex	L1405-L1405	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0019_two_inversions_orientation.tex
CP-IV-0020	SEM-1D0FC161B730	IMP-DL-0A181AC273-P018	Elliptic Functions	IV/27--IV/31	READY_FOR_COMPANION_MIGRATION	IMP-DL-0A181AC273-P018;IMP-M2-80AFB5AE64-P018	Downloads/theory-of-complex-analysis.tex	L729-L739	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-0A181AC273-S006	Downloads/theory-of-complex-analysis.tex	L740-L763	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0021	SEM-20461B9274F9	IMP-DL-F77C60E8D1-P006	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-F77C60E8D1-P006;IMP-M2-09C070ED26-P006	Downloads/theory-of-complex-analysis-next2.tex	L1682-L1685	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0022	SEM-2310F4A20DF6	IMP-DL-F77C60E8D1-P004	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-F77C60E8D1-P004;IMP-M2-09C070ED26-P004	Downloads/theory-of-complex-analysis-next2.tex	L872-L897	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0022_plemelj_unit_circle.tex
CP-IV-0023	SEM-2AB36A5E50F2	IMP-DL-0E1AFE9FFD-P004	Global Complex Analysis	IV/12--IV/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-0E1AFE9FFD-P004;IMP-DL-141F3478CC-P004;IMP-DL-AA5DDA8809-P004;IMP-DL-FB19C24E92-P004;IMP-M2-2BDEE85382-P004;IMP-M2-6F2E5F9B11-P004;IMP-M2-7785C781E9-P004;IMP-M2-F295E7C0B9-P004	Downloads/theory-of-complex-analysis-all-maps-all2.tex	L356-L373	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0023_finite_imaginary_branch_cut.tex
CP-IV-0024	SEM-2EA3CA6C04DF	IMP-DL-A509E7ADEA-P001	Singularities and Residues	IV/07--IV/11	READY_FOR_COMPANION_MIGRATION	IMP-DL-A509E7ADEA-P001;IMP-M2-F95E4E8DC6-P001	Downloads/theory-of-disitrbutions.tex	L37-L100	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0024_square_residue_contour.tex
CP-IV-0025	SEM-3086AD818913	IMP-DL-0A181AC273-P027	Singularities and Residues	IV/07--IV/11	READY_FOR_COMPANION_MIGRATION	IMP-DL-0A181AC273-P027;IMP-DL-AD9EFCAF62-P003;IMP-M2-79778E004E-P003;IMP-M2-80AFB5AE64-P027	Downloads/theory-of-complex-analysis.tex	L1447-L1501	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0026	SEM-30DCB2E08175	IMP-DL-CB3C80FF97-P010	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P010;IMP-M2-7B5A4788C1-P010	Downloads/theory-of-complex-analysis-topology.tex	L635-L635	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0027	SEM-332B34E9D5AF	IMP-DL-0A181AC273-P016	Global Complex Analysis	IV/12--IV/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-0A181AC273-P016;IMP-M2-80AFB5AE64-P016	Downloads/theory-of-complex-analysis.tex	L452-L460	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-0A181AC273-S004	Downloads/theory-of-complex-analysis.tex	L461-L506	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0028	SEM-3419CCCE9E35	IMP-DL-CB3C80FF97-P004	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P004;IMP-M2-7B5A4788C1-P004	Downloads/theory-of-complex-analysis-topology.tex	L179-L193	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-CB3C80FF97-S005	Downloads/theory-of-complex-analysis-topology.tex	L194-L200	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0029	SEM-354666CB524E	IMP-DL-AD9EFCAF62-P018	Singularities and Residues	IV/07--IV/11	READY_FOR_COMPANION_MIGRATION	IMP-DL-AD9EFCAF62-P018;IMP-M2-79778E004E-P018	Downloads/theory-of-complex-analysis-2.tex	L875-L898	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-AD9EFCAF62-S010	Downloads/theory-of-complex-analysis-2.tex	L899-L913	1		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0029_cauchy_derivative_nested_disks.tex
CP-IV-0030	SEM-3697CF1E41E7	IMP-DL-CB3C80FF97-P011	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P011;IMP-M2-7B5A4788C1-P011	Downloads/theory-of-complex-analysis-topology.tex	L636-L636	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0031	SEM-38184A77E66B	IMP-DL-0A181AC273-P025	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-0A181AC273-P025;IMP-DL-AD9EFCAF62-P001;IMP-M2-79778E004E-P001;IMP-M2-80AFB5AE64-P025	Downloads/theory-of-complex-analysis.tex	L1212-L1232	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-0A181AC273-S012	Downloads/theory-of-complex-analysis.tex	L1233-L1278	1		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0031_unit_circle_rational_poles.tex
CP-IV-0032	SEM-390719F48779	IMP-DL-CB3C80FF97-P026	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P026;IMP-M2-7B5A4788C1-P026	Downloads/theory-of-complex-analysis-topology.tex	L1106-L1107	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0033	SEM-3913DE66EC99	IMP-DL-CB3C80FF97-P033	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P033;IMP-M2-7B5A4788C1-P033	Downloads/theory-of-complex-analysis-topology.tex	L1301-L1301	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0034	SEM-3B41BC30D6F9	IMP-DL-887B7B83F4-P007	Holomorphic Functions	IV/01--IV/06	PLACEMENT_REVIEW_REQUIRED	IMP-DL-887B7B83F4-P007	Downloads/sheaves_notes_reorganized.tex	L2206-L2301	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0035	SEM-3B6FD14214E5	IMP-DL-0E1529C1F4-P002	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-0E1529C1F4-P002;IMP-M2-B699C4BE42-P002	Downloads/theory-of-complex-analysis-maps.tex	L674-L774	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	SOURCE_ASSET_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0036	SEM-3C9AB00FB8F7	IMP-DL-0A181AC273-P023	Global Complex Analysis	IV/12--IV/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-0A181AC273-P023;IMP-M2-80AFB5AE64-P023	Downloads/theory-of-complex-analysis.tex	L976-L1010	MIGRATED	MIGRATED_PRIMARY_SOLUTION;ALTERNATE_VARIANTS_RETAINED_IN_PROVENANCE	IMP-DL-0A181AC273-S009	Downloads/theory-of-complex-analysis.tex	L1011-L1037	2	IMP-DL-0A181AC273-S010	YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0036_primitive_obstruction_loops.tex
CP-IV-0037	SEM-427D190F62B5	IMP-DL-9DE2876887-P001	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-9DE2876887-P001;IMP-M2-11069D160E-P001	Downloads/theory-of-complex-analysis-series.tex	L926-L1017	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0037_rouche_two_fibers.tex
CP-IV-0038	SEM-43B443B514D2	IMP-DL-0A181AC273-P033	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-0A181AC273-P033;IMP-DL-AD9EFCAF62-P009;IMP-M2-79778E004E-P009;IMP-M2-80AFB5AE64-P033	Downloads/theory-of-complex-analysis.tex	L1727-L1733	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0039	SEM-4426DE547CA6	IMP-DL-0A181AC273-P013	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-0A181AC273-P013;IMP-M2-80AFB5AE64-P013	Downloads/theory-of-complex-analysis.tex	L307-L334	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	SOURCE_ASSET_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0040	SEM-449740892CD2	IMP-DL-CB3C80FF97-P015	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P015;IMP-M2-7B5A4788C1-P015	Downloads/theory-of-complex-analysis-topology.tex	L709-L709	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0041	SEM-46B5B93BE388	IMP-DL-CB3C80FF97-P020	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P020;IMP-M2-7B5A4788C1-P020	Downloads/theory-of-complex-analysis-topology.tex	L887-L887	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0042	SEM-4B7C15D83FAC	IMP-DL-CB3C80FF97-P023	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P023;IMP-M2-7B5A4788C1-P023	Downloads/theory-of-complex-analysis-topology.tex	L1018-L1027	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0043	SEM-4BF17C8C755C	IMP-DL-0E1AFE9FFD-P003	Global Complex Analysis	IV/12--IV/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-0E1AFE9FFD-P003;IMP-DL-141F3478CC-P003;IMP-DL-AA5DDA8809-P003;IMP-DL-FB19C24E92-P003;IMP-M2-2BDEE85382-P003;IMP-M2-6F2E5F9B11-P003;IMP-M2-7785C781E9-P003;IMP-M2-F295E7C0B9-P003	Downloads/theory-of-complex-analysis-all-maps-all2.tex	L342-L355	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0044	SEM-4BFD3E8977D4	IMP-DL-E88547CF67-P020	Holomorphic Functions	IV/01--IV/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-E88547CF67-P020;IMP-M2-80D8AED0FF-P020	Downloads/theory-of-geometry-3.tex	L2844-L2984	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-E88547CF67-S012	Downloads/theory-of-geometry-3.tex	L2850-L2873	1		YES	DESIGNED_TIKZ_STAGED	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here. Designed figure: figures/part04/designed/cp_iv_0044_weierstrass_order_balance.tex
CP-IV-0045	SEM-4E51DAB0CB20	IMP-DL-0E1AFE9FFD-P002	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-0E1AFE9FFD-P002;IMP-DL-141F3478CC-P002;IMP-DL-AA5DDA8809-P002;IMP-DL-FB19C24E92-P002;IMP-M2-2BDEE85382-P002;IMP-M2-6F2E5F9B11-P002;IMP-M2-7785C781E9-P002;IMP-M2-F295E7C0B9-P002	Downloads/theory-of-complex-analysis-all-maps-all2.tex	L184-L197	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-FB19C24E92-S002	Downloads/theory-of-complex-analysis-all.tex	L176-L188	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0046	SEM-4F524E9BAF01	IMP-DL-336732908A-P009	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-336732908A-P009;IMP-M2-805F474A19-P009	Downloads/theory-of-complex-analysis-next.tex	L1621-L1669	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0047	SEM-50A9514DBF0B	IMP-DL-A99C7658F3-PSR002860-50A9514D	Holomorphic Functions	IV/01--IV/06	PLACEMENT_REVIEW_REQUIRED	IMP-DL-A99C7658F3-PSR002860-50A9514D	Downloads/theory-of-algebraic-geometry-2.tex	L2860-L2951	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	REVIEWED_NO_LOCAL_SOURCE_FIGURE	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0048	SEM-53B4C59D18A4	IMP-DL-336732908A-P007	Singularities and Residues	IV/07--IV/11	READY_FOR_COMPANION_MIGRATION	IMP-DL-336732908A-P007;IMP-M2-805F474A19-P007	Downloads/theory-of-complex-analysis-next.tex	L1372-L1410	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0049	SEM-5988D53D7ADD	IMP-DL-4A78994322-P001	Special Functions	IV/19--IV/21	READY_FOR_COMPANION_MIGRATION	IMP-DL-4A78994322-P001;IMP-M2-40596E1FB5-P001	Downloads/theory-of-complex-analysis-gamma.tex	L57-L78	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-4A78994322-S001	Downloads/theory-of-complex-analysis-gamma.tex	L79-L102	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-IV-0050	SEM-59D4F972D519	IMP-DL-CB3C80FF97-P018	Special Functions	IV/19--IV/21	PLACEMENT_REVIEW_REQUIRED	IMP-DL-CB3C80FF97-P018;IMP-M2-7B5A4788C1-P018	Downloads/theory-of-complex-analysis-topology.tex	L842-L842	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
