companion_problem_id	semantic_unit_id	representative_problem_id	thematic_section	related_chapters	atlas_editorial_status	source_problem_ids	statement_source_file	statement_line_range	statement_status	solution_status	primary_solution_id	primary_solution_source_file	primary_solution_line_range	distinct_solution_variants	alternate_solution_ids	figure_requirement	figure_status	migration_status	notes
CP-I-0011	SEM-0D03EAAE7B24	IMP-DL-8D5CF4CFBA-P003	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P003;IMP-M3-89937139FC-P003	Downloads/theory-of-linear-algebra-2.tex	L393-L479	MIGRATED	MIGRATED_PRIMARY_SOLUTION;ALTERNATE_VARIANTS_RETAINED_IN_PROVENANCE	IMP-DL-8D5CF4CFBA-S004	Downloads/theory-of-linear-algebra-2.tex	L449-L479	2	IMP-DL-8D5CF4CFBA-S003	NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0012	SEM-10D60D5D223D	IMP-DL-8D5CF4CFBA-P010	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P010;IMP-M3-89937139FC-P010	Downloads/theory-of-linear-algebra-2.tex	L929-L971	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S011	Downloads/theory-of-linear-algebra-2.tex	L942-L971	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0013	SEM-145B0FDF566C	IMP-DL-8D5CF4CFBA-P027	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P027;IMP-M3-89937139FC-P027	Downloads/theory-of-linear-algebra-2.tex	L2912-L2982	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S036	Downloads/theory-of-linear-algebra-2.tex	L2935-L2982	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0014	SEM-1BAB05C1EFA7	IMP-DL-8D5CF4CFBA-P025	Vector Spaces	I/01--I/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P025;IMP-M3-89937139FC-P025	Downloads/theory-of-linear-algebra-2.tex	L2823-L2863	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S034	Downloads/theory-of-linear-algebra-2.tex	L2834-L2863	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0015	SEM-1C6AED2D9605	IMP-DL-8D5CF4CFBA-PSR001046-1C6AED2D	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-PSR001046-1C6AED2D;IMP-M3-89937139FC-PSR001046-1C6AED2D	Downloads/theory-of-linear-algebra-2.tex	L1046-L1052	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0016	SEM-1D0323515537	IMP-DL-C78B44C750-P002	Vector Spaces	I/01--I/06	PLACEMENT_REVIEW_REQUIRED	IMP-DL-C78B44C750-P002;IMP-M2-48626BD8F1-P002	Downloads/wiki-green.tex	L126-L134	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0017	SEM-1D5087A54CD2	IMP-DL-3E276561C4-P016	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P016;IMP-M3-AB2FCA292B-P016	Downloads/theory-of-linear-algebra-1.tex	L2551-L2551	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0018	SEM-1DFA752BB919	IMP-DL-3E276561C4-R000605-1DFA752B	Vector Spaces	I/01--I/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-R000605-1DFA752B;IMP-DL-7AFEF11659-R000603-1DFA752B;IMP-M3-AB2FCA292B-R000605-1DFA752B;IMP-M3-AC7E1F63D1-R000603-1DFA752B	Downloads/theory-of-linear-algebra-1.tex	L605-L620	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-3E276561C4-S004	Downloads/theory-of-linear-algebra-1.tex	L621-L672	1		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0019	SEM-1E7BF447BD88	IMP-DL-8D5CF4CFBA-P030	Vector Spaces	I/01--I/06	PLACEMENT_REVIEW_REQUIRED	IMP-DL-8D5CF4CFBA-P030;IMP-M3-89937139FC-P030	Downloads/theory-of-linear-algebra-2.tex	L3290-L3321	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S039	Downloads/theory-of-linear-algebra-2.tex	L3300-L3321	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0020	SEM-1F0514B54B08	IMP-DL-8D5CF4CFBA-P013	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P013;IMP-M3-89937139FC-P013	Downloads/theory-of-linear-algebra-2.tex	L1687-L1753	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S014	Downloads/theory-of-linear-algebra-2.tex	L1703-L1753	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0021	SEM-1FD58040ADA4	IMP-DL-3D2DB27534-P001	Euclidean and Hilbert-Space Geometry	I/13--I/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-3D2DB27534-P001;IMP-M2-AFF44384C1-P001	Downloads/merged_exercises (1).tex	L13-L45	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0022	SEM-25C5E5B04C23	IMP-DL-8D5CF4CFBA-P001	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P001;IMP-M3-89937139FC-P001	Downloads/theory-of-linear-algebra-2.tex	L326-L347	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S001	Downloads/theory-of-linear-algebra-2.tex	L335-L347	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0023	SEM-276BD8466DE2	IMP-DL-8D5CF4CFBA-PSR001053-276BD846	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-PSR001053-276BD846;IMP-M3-89937139FC-PSR001053-276BD846	Downloads/theory-of-linear-algebra-2.tex	L1053-L1056	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0024	SEM-28367F5BC207	IMP-DL-8D5CF4CFBA-PSR001109-28367F5B	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-PSR001109-28367F5B;IMP-M3-89937139FC-PSR001109-28367F5B	Downloads/theory-of-linear-algebra-2.tex	L1109-L1117	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0025	SEM-2AC2D6F8B5AD	IMP-DL-8D5CF4CFBA-P014	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P014;IMP-M3-89937139FC-P014	Downloads/theory-of-linear-algebra-2.tex	L1754-L1809	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S015	Downloads/theory-of-linear-algebra-2.tex	L1770-L1809	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0026	SEM-2ADF71C2D439	IMP-DL-3E276561C4-R001292-2ADF71C2	Vector Spaces	I/01--I/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-R001292-2ADF71C2;IMP-M3-AB2FCA292B-R001292-2ADF71C2	Downloads/theory-of-linear-algebra-1.tex	L1292-L1296	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-3E276561C4-S009	Downloads/theory-of-linear-algebra-1.tex	L1297-L1327	1		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0027	SEM-2B75E1B9016F	IMP-DL-8D5CF4CFBA-P015	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P015;IMP-M3-89937139FC-P015	Downloads/theory-of-linear-algebra-2.tex	L1810-L1822	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S016	Downloads/theory-of-linear-algebra-2.tex	L1815-L1822	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0028	SEM-2BEBDA43A991	IMP-DL-3E276561C4-P042	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P042;IMP-M3-AB2FCA292B-P042	Downloads/theory-of-linear-algebra-1.tex	L4640-L4972	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-3E276561C4-S063	Downloads/theory-of-linear-algebra-1.tex	L4648-L4675	1		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0029	SEM-2C635146A821	IMP-DL-A470D9BACB-P027	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-A470D9BACB-P027;IMP-M2-2850FB9A8A-P027	Downloads/theory-of-geometry-1.tex	L2574-L3319	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0030	SEM-2C927537C7DC	IMP-DL-8D5CF4CFBA-R003200-2C927537	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-R003200-2C927537;IMP-M3-89937139FC-R003200-2C927537	Downloads/theory-of-linear-algebra-2.tex	L3200-L3243	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0031	SEM-2F36AC7363F9	IMP-DL-8D5CF4CFBA-P034	Euclidean and Hilbert-Space Geometry	I/13--I/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P034;IMP-M3-89937139FC-P034	Downloads/theory-of-linear-algebra-2.tex	L3504-L3591	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S044	Downloads/theory-of-linear-algebra-2.tex	L3522-L3591	1		CANDIDATE	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0032	SEM-31E3250B1859	IMP-DL-8D5CF4CFBA-P017	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P017;IMP-M3-89937139FC-P017	Downloads/theory-of-linear-algebra-2.tex	L1846-L1903	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S018	Downloads/theory-of-linear-algebra-2.tex	L1868-L1903	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0033	SEM-345398022222	IMP-DL-8D5CF4CFBA-P033	Vector Spaces	I/01--I/06	PLACEMENT_REVIEW_REQUIRED	IMP-DL-8D5CF4CFBA-P033;IMP-M3-89937139FC-P033	Downloads/theory-of-linear-algebra-2.tex	L3418-L3503	MIGRATED	MIGRATED_PRIMARY_SOLUTION;ALTERNATE_VARIANTS_RETAINED_IN_PROVENANCE	IMP-DL-8D5CF4CFBA-S043	Downloads/theory-of-linear-algebra-2.tex	L3483-L3503	2	IMP-DL-8D5CF4CFBA-S042	NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0034	SEM-357427634F85	IMP-DL-3E276561C4-P017	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P017;IMP-M3-AB2FCA292B-P017	Downloads/theory-of-linear-algebra-1.tex	L2552-L2644	MIGRATED	NO_RECONCILED_SOLUTION				0		CANDIDATE	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0035	SEM-3A8CE033E59A	IMP-DL-8D5CF4CFBA-R003183-3A8CE033	Vector Spaces	I/01--I/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-R003183-3A8CE033;IMP-M3-89937139FC-R003183-3A8CE033	Downloads/theory-of-linear-algebra-2.tex	L3183-L3199	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0036	SEM-3E58908BAD4D	IMP-DL-8D5CF4CFBA-R003244-3E58908B	Vector Spaces	I/01--I/06	PLACEMENT_REVIEW_REQUIRED	IMP-DL-8D5CF4CFBA-R003244-3E58908B;IMP-M3-89937139FC-R003244-3E58908B	Downloads/theory-of-linear-algebra-2.tex	L3244-L3250	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0037	SEM-3F386DD6209F	IMP-DL-8D5CF4CFBA-P007	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P007;IMP-M3-89937139FC-P007	Downloads/theory-of-linear-algebra-2.tex	L667-L783	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S008	Downloads/theory-of-linear-algebra-2.tex	L697-L783	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0038	SEM-402A04AD98C9	IMP-DL-8D5CF4CFBA-P016	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P016;IMP-M3-89937139FC-P016	Downloads/theory-of-linear-algebra-2.tex	L1823-L1845	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S017	Downloads/theory-of-linear-algebra-2.tex	L1832-L1845	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0039	SEM-40E9B4ABB895	IMP-DL-8D5CF4CFBA-PSR001079-40E9B4AB	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-PSR001079-40E9B4AB;IMP-M3-89937139FC-PSR001079-40E9B4AB	Downloads/theory-of-linear-algebra-2.tex	L1079-L1086	MIGRATED	NO_RECONCILED_SOLUTION				0		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0040	SEM-42DA196047DF	IMP-DL-3E276561C4-P015	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P015;IMP-M3-AB2FCA292B-P015	Downloads/theory-of-linear-algebra-1.tex	L2438-L2489	MIGRATED	MIGRATED_PRIMARY_SOLUTION;ALTERNATE_VARIANTS_RETAINED_IN_PROVENANCE	IMP-DL-3E276561C4-S030	Downloads/theory-of-linear-algebra-1.tex	L2467-L2489	2	IMP-DL-3E276561C4-S029	NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0041	SEM-42F42364708E	IMP-DL-3E276561C4-P039	Euclidean and Hilbert-Space Geometry	I/13--I/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P039;IMP-M3-AB2FCA292B-P039	Downloads/theory-of-linear-algebra-1.tex	L4139-L4560	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-3E276561C4-S059	Downloads/theory-of-linear-algebra-1.tex	L4164-L4267	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0042	SEM-4465549B254A	IMP-DL-3E276561C4-P040	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P040;IMP-M3-AB2FCA292B-P040	Downloads/theory-of-linear-algebra-1.tex	L4561-L4616	MIGRATED	MIGRATED_PRIMARY_SOLUTION;ALTERNATE_VARIANTS_RETAINED_IN_PROVENANCE	IMP-DL-3E276561C4-S061	Downloads/theory-of-linear-algebra-1.tex	L4613-L4616	2	IMP-DL-3E276561C4-S060	NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0043	SEM-44899D408D17	IMP-DL-3E276561C4-P027	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P027;IMP-M3-AB2FCA292B-P027	Downloads/theory-of-linear-algebra-1.tex	L2794-L2824	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-3E276561C4-S033	Downloads/theory-of-linear-algebra-1.tex	L2800-L2824	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0044	SEM-4704E529136C	IMP-DL-A470D9BACB-R001602-4704E529	Matrices and Operators	I/07--I/12	PLACEMENT_REVIEW_REQUIRED	IMP-DL-A470D9BACB-R001602-4704E529;IMP-M2-2850FB9A8A-R001602-4704E529	Downloads/theory-of-geometry-1.tex	L1602-L1605	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0045	SEM-49EF65264120	IMP-DL-3E276561C4-P020	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P020;IMP-M3-AB2FCA292B-P020	Downloads/theory-of-linear-algebra-1.tex	L2653-L2656	MIGRATED	NO_RECONCILED_SOLUTION				0		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0046	SEM-4DE35E9CC16A	IMP-DL-8D5CF4CFBA-P021	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P021;IMP-M3-89937139FC-P021	Downloads/theory-of-linear-algebra-2.tex	L2160-L2179	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S022	Downloads/theory-of-linear-algebra-2.tex	L2167-L2179	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0047	SEM-50B2B7BB6BCB	IMP-DL-8D5CF4CFBA-P041	Euclidean and Hilbert-Space Geometry	I/13--I/18	READY_FOR_COMPANION_MIGRATION	IMP-DL-8D5CF4CFBA-P041;IMP-M3-89937139FC-P041	Downloads/theory-of-linear-algebra-2.tex	L3895-L4372	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-8D5CF4CFBA-S051	Downloads/theory-of-linear-algebra-2.tex	L3912-L3969	1		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0048	SEM-52E2D5CCF365	IMP-DL-3E276561C4-R000260-52E2D5CC	Vector Spaces	I/01--I/06	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-R000260-52E2D5CC;IMP-DL-7AFEF11659-R000258-52E2D5CC;IMP-M3-AB2FCA292B-R000260-52E2D5CC;IMP-M3-AC7E1F63D1-R000258-52E2D5CC	Downloads/theory-of-linear-algebra-1.tex	L260-L270	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-3E276561C4-S001	Downloads/theory-of-linear-algebra-1.tex	L271-L335	1		YES	SOURCE_PRESENT_REVIEW_LATER	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
CP-I-0049	SEM-545C2A1774FE	IMP-DL-3E276561C4-P002	Matrices and Operators	I/07--I/12	READY_FOR_COMPANION_MIGRATION	IMP-DL-3E276561C4-P002;IMP-M3-AB2FCA292B-P002	Downloads/theory-of-linear-algebra-1.tex	L1599-L1657	MIGRATED	MIGRATED_PRIMARY_SOLUTION	IMP-DL-3E276561C4-S013	Downloads/theory-of-linear-algebra-1.tex	L1612-L1657	1		NO	PENDING_VISUAL_AUDIT	MIGRATED_TO_COMPANION	Reader-facing provenance suppressed; exact source lineage retained here.
