companion_problem_id	representative_problem_id	figure_type	title	file	label	target_status
CP-IV-0029	IMP-DL-AD9EFCAF62-P018	CAUCHY_DERIVATIVE_DIAGRAM	Nested disks for Cauchy's derivative formula	figures/part04/designed/cp_iv_0029_cauchy_derivative_nested_disks.tex	fig:cp-iv-0029-cauchy-derivative-nested-disks	DESIGNED_TIKZ_STAGED
CP-IV-0031	IMP-DL-0A181AC273-P025	UNIT_CIRCLE_POLES	Unit-circle contour and the two rational poles	figures/part04/designed/cp_iv_0031_unit_circle_rational_poles.tex	fig:cp-iv-0031-unit-circle-rational-poles	DESIGNED_TIKZ_STAGED
CP-IV-0036	IMP-DL-0A181AC273-P023	TOPOLOGICAL_OBSTRUCTION	Closed loops detecting the absence of primitives	figures/part04/designed/cp_iv_0036_primitive_obstruction_loops.tex	fig:cp-iv-0036-primitive-obstruction-loops	DESIGNED_TIKZ_STAGED
CP-IV-0037	IMP-DL-9DE2876887-P001	ROUCHE_INJECTIVITY	Rouché argument on two fibers	figures/part04/designed/cp_iv_0037_rouche_two_fibers.tex	fig:cp-iv-0037-rouche-two-fibers	DESIGNED_TIKZ_STAGED
CP-IV-0044	IMP-DL-E88547CF67-P020	ORDER_BALANCE_DIAGRAM	Order balance in the Weierstrass immersion criterion	figures/part04/designed/cp_iv_0044_weierstrass_order_balance.tex	fig:cp-iv-0044-weierstrass-order-balance	DESIGNED_TIKZ_STAGED
CP-IV-0051	IMP-DL-336732908A-P001	LOG_BRANCH_PATH	Path for the principal logarithm	figures/part04/designed/cp_iv_0051_principal_log_path.tex	fig:cp-iv-0051-principal-log-path	DESIGNED_TIKZ_STAGED
CP-IV-0052	IMP-DL-AD9EFCAF62-P023	IMAGE_CURVE	Three-petal image of the unit circle under $p(z)=z^5+z$	figures/part04/designed/cp_iv_0052_three_petal_image_curve.tex	fig:cp-iv-0052-three-petal-image-curve	DESIGNED_TIKZ_STAGED
CP-IV-0053	IMP-DL-183AD43C4C-P033	CONTOUR_ESTIMATE_DIAGRAM	Contour-size estimate for the Fourier-residue kernel	figures/part04/designed/cp_iv_0053_residue_contour_estimate.tex	fig:cp-iv-0053-residue-contour-estimate	DESIGNED_TIKZ_STAGED
CP-IV-0060	IMP-DL-E88547CF67-P021	ASSOCIATE_SURFACE_DIAGRAM	Catenoid and helicoid as associate minimal surfaces	figures/part04/designed/cp_iv_0060_catenoid_helicoid_associates.tex	fig:cp-iv-0060-catenoid-helicoid-associates	DESIGNED_TIKZ_STAGED
CP-IV-0063	IMP-DL-AD9EFCAF62-P021	KEYHOLE_CONTOUR	Keyhole contour for the Mellin-type integral	figures/part04/designed/cp_iv_0063_mellin_keyhole_contour.tex	fig:cp-iv-0063-mellin-keyhole-contour	DESIGNED_TIKZ_STAGED
CP-IV-0070	IMP-DL-2370D81D66-R000120-7D834CD9	RESIDUE_INVENTORY	Residue inventory inside the half-integer square	figures/part04/designed/cp_iv_0070_residue_inventory_square.tex	fig:cp-iv-0070-residue-inventory-square	DESIGNED_TIKZ_STAGED
CP-IV-0080	IMP-DL-0A181AC273-P030	DISK_AUTOMORPHISM_DIAGRAM	Disk automorphism normalized by Schwarz's lemma	figures/part04/designed/cp_iv_0080_schwarz_disk_automorphism.tex	fig:cp-iv-0080-schwarz-disk-automorphism	DESIGNED_TIKZ_STAGED
CP-IV-0082	IMP-DL-E88547CF67-P023	REPARAMETRIZATION_DIAGRAM	Normalizing Weierstrass data by the Gauss-map coordinate	figures/part04/designed/cp_iv_0082_weierstrass_gauss_coordinate.tex	fig:cp-iv-0082-weierstrass-gauss-coordinate	DESIGNED_TIKZ_STAGED
CP-IV-0084	IMP-DL-E88547CF67-P025	ASSOCIATE_FAMILY_DIAGRAM	Phase rotation in the associated family	figures/part04/designed/cp_iv_0084_associated_family_phase.tex	fig:cp-iv-0084-associated-family-phase	DESIGNED_TIKZ_STAGED
CP-IV-0086	IMP-DL-0A181AC273-P040	NATURAL_BOUNDARY_DIAGRAM	Dense singularities on a natural boundary	figures/part04/designed/cp_iv_0086_natural_boundary_unit_circle.tex	fig:cp-iv-0086-natural-boundary-unit-circle	DESIGNED_TIKZ_STAGED
CP-IV-0099	IMP-DL-0E1AFE9FFD-P001	FOURIER_INVERSION_CONTOURS	Upper and lower residue closures for Fourier inversion	figures/part04/designed/cp_iv_0099_fourier_inverse_semicircles.tex	fig:cp-iv-0099-fourier-inverse-semicircles	DESIGNED_TIKZ_STAGED
CP-IV-0106	IMP-DL-F77C60E8D1-P002	PLEMELJ_INDENTATION	Interior and exterior indentations in the Plemelj formula	figures/part04/designed/cp_iv_0106_plemelj_indentation.tex	fig:cp-iv-0106-plemelj-indentation	DESIGNED_TIKZ_STAGED
CP-IV-0114	IMP-DL-336732908A-P010	GAUSSIAN_SHIFT_CONTOUR	Rectangular contour shift for the Gaussian Fourier integral	figures/part04/designed/cp_iv_0114_gaussian_shift_rectangle.tex	fig:cp-iv-0114-gaussian-shift-rectangle	DESIGNED_TIKZ_STAGED
CP-IV-0123	IMP-DL-0A181AC273-P020	COAXAL_TO_ANNULUS	Nonconcentric circles mapped to a concentric annulus	figures/part04/designed/cp_iv_0123_coaxal_circles_to_annulus.tex	fig:cp-iv-0123-coaxal-circles-to-annulus	DESIGNED_TIKZ_STAGED
CP-IV-0124	IMP-DL-141F3478CC-P007	RADIAL_HARMONIC_ANNULUS	Radial harmonic solution on the annulus	figures/part04/designed/cp_iv_0124_radial_temperature_annulus.tex	fig:cp-iv-0124-radial-temperature-annulus	DESIGNED_TIKZ_STAGED
CP-IV-0126	IMP-DL-0A181AC273-P024	HARMONIC_CONJUGATE_OBSTRUCTION	Local harmonic conjugates and the global topological obstruction	figures/part04/designed/cp_iv_0126_harmonic_conjugate_local_global.tex	fig:cp-iv-0126-harmonic-conjugate-local-global	DESIGNED_TIKZ_STAGED
CP-IV-0135	IMP-DL-FB19C24E92-P007	EQUIPOTENTIAL_GEOMETRY	Equipotential curves in the original heat-flow domain	figures/part04/designed/cp_iv_0135_heat_equipotential_curves.tex	fig:cp-iv-0135-heat-equipotential-curves	DESIGNED_TIKZ_STAGED
CP-IV-0137	IMP-DL-AD9EFCAF62-P024	COTANGENT_RESIDUE_CONTOUR	Cotangent square contour for summing rational series	figures/part04/designed/cp_iv_0137_cotangent_square_contour.tex	fig:cp-iv-0137-cotangent-square-contour	DESIGNED_TIKZ_STAGED
CP-IV-0139	IMP-DL-0A181AC273-P041	HIGHER_ORDER_POLE_DIAGRAM	Higher-order pole used in Cauchy's derivative formula	figures/part04/designed/cp_iv_0139_higher_order_pole_cauchy.tex	fig:cp-iv-0139-higher-order-pole-cauchy	DESIGNED_TIKZ_STAGED
