chapter	ordinal	label	theorem	classification	proof_environment	source_line	body_sha256
III/14	2	thm:iii14-02	Algebraic stability	proved	yes	91	90b701eb84e88b7bc7ecf2a4326477151dd671dd1baae7be7f9ed0666a0a8d3d
III/14	3	thm:iii14-03	Schwartz convolution closure	proved	yes	98	0e41e3da7aa856b9acbed5fd78ed431c954ea5e4b52d5bcf4064c2921ad3bd2e
III/15	1	thm:iii15-01	Existence of bump functions	proved	yes	96	a9da47117d4b7e155093f595fb569c89ee4a65adf681b6bd10c1a8f6fd68c4e4
III/15	2	thm:iii15-02	Partition of unity	standard external theorem	yes	103	d76c6c02a92ab553f89faa11a47127a2d271625569b94653acfa3908756aba39
III/15	3	thm:iii15-03	Test-function convergence	standard external theorem	yes	110	309c64d11777c1b7a85e930b0a2b9bdda58fb275fbee7809ec7d23f3726aba28
III/16	1	thm:iii16-01	Agreement with classical derivatives	proved	yes	100	d17969f2a0c7b7095b8e72dbdc9879064d0d2ef3cb515c3e2b9e7251e6876200
III/16	2	thm:iii16-02	Derivative of Heaviside	proved	yes	107	1f2b52e246e2f1969e07adfb767e8bc88085647c03648b0c6e3b27df6309ad4b
III/16	3	thm:iii16-03	Continuity of differentiation	proved	yes	114	e32205657ede66ddd3646fe636e3a8ec8d40e93b156d888f98cbc64313129c45
III/17	1	thm:iii17-01	Support of a derivative	proved	yes	102	ac2bc523335a55fb1dc4f6c68064ebec004b3d42aefdffe209402a0273427a71
III/17	2	thm:iii17-02	Dirac derivatives	proved	yes	109	3891adeb1c03a564f764b5c54038a67aaf9eecef61cffe7791cf1865884f7af9
III/17	3	thm:iii17-03	Jump formula	proved	yes	116	076c09e852ee1b8d31f6562c0762b690ac01e078143ccb6ba55a69e1dcb15ce3
III/18	1	thm:iii18-01	Polynomial-growth functions are tempered	proved	yes	92	4b442bef5526054a89197ae08459a280a1a1f1c394e3be7c92a6e77725b3374b
III/18	2	thm:iii18-02	Derivatives preserve temperedness	proved	yes	99	c0d8a06b73ae991c0d10865a524bd71019aae6cc18a9eb20e9cd53ce882c2c5e
III/18	3	thm:iii18-03	Polynomial multiplication preserves temperedness	proved	yes	106	7a6975b63a38255331439f3d581c751851ca598395e732286203f9d14a7f91ff
III/19	1	thm:iii19-01	Fourier transform of Dirac	proved	yes	101	83e598e988a3ca0a8ddde0b723cc340405aa37081ec85d7ae3be2336b13d1eed
III/19	2	thm:iii19-02	Derivative rule	proved	yes	108	ea8f3ddd9e9dac3a0543b9eec6c57cf9768add537acc544d5c96933672230449
III/19	3	thm:iii19-03	Fourier automorphism	proved	yes	115	7dc3c991e1d57f6d55a49b992d8dc4356ae7db7dd1c5af443fb56e16dcb19d96
III/20	1	thm:iii20-01	Uniqueness of weak derivative	proved	yes	93	776b734974812597eb3b38833f562f5d75920b9ed5313bd3d10ea4097b57b576
III/20	2	thm:iii20-02	Classical implies weak	proved	yes	100	f5ce710f3d808e45ef3b9c75c3b21ffb15186412b742f42fd0e56576dd0f7f07
III/20	3	thm:iii20-03	Mollifier commutation	proved	yes	107	640e313fd6a27c625f10aeab18504ce8dfa1524362de949249a4eeb3fdbbefd6
III/21	1	thm:iii21-01	Completeness of $W^{k,p}$	proved	yes	93	4da05ee8a7fa86a4e1b4e5a14d5e03ffd68a13d0a3a91bf8f488700c707ee93a
III/21	2	thm:iii21-02	Poincare inequality	proved	yes	100	0f8337c2e4cd20bfcafb3acb290b9c57ce166a10db6cf57052ba512ec669d441
III/21	3	thm:iii21-03	Hilbert structure of $H^k$	proved	yes	107	6c677753654e9c1aa127ca5ca85d10943c23e6d34c307983ee23280eca20b648
III/22	1	thm:iii22-01	$L^p$ mollifier convergence	proved	yes	93	b06bdb496234973bf52d32090be9015a6b50deb24c4570fb604d907ddb7f125d
III/22	2	thm:iii22-02	Derivative commutation	proved	yes	100	8a195e926b32aba5bfff0ca49d9aab599b435cb346334548be674ec3e4f8dbc5
III/22	3	thm:iii22-03	Density of $C_c^\infty$ in $L^p$	proved	yes	107	1bae9f9098def762335664a77e78560426991899d676889d219ab32f640b3b12
III/23	1	thm:iii23-01	Lax--Milgram theorem	proved	yes	100	795dde46f0b1f084362cb7c44c05237462844f8a6bd2f2a80f277be74feec85f
III/23	2	thm:iii23-02	Energy uniqueness	proved	yes	107	634c020a7196c07c99f0b65d91cb2d8988acd29e26989fc586f7ed5a2ebe2fb3
III/23	3	thm:iii23-03	Galerkin stability	proved	yes	114	3ebcf804f10fd9ea61ff5421539d89cb8322d483b9c3e9deec6aeb62d08692c3
III/24	1	thm:iii24-01	Convolution inversion	proved	yes	90	3d2a0464fb23d10e4ec84ba6d0ad725445bee76b723315a5bd92663af466cf16
III/24	2	thm:iii24-02	Newtonian fundamental solution	proved	yes	97	b3eebc1f92d7d2efae81c1b0ddb151d81a4209f658f43646d55b162ed5a1a23b
III/24	3	thm:iii24-03	Homogeneous equation off the source	proved	yes	104	d17ac216968bea2eebb9be3f1cbc8c2a901450aab994e7589a7d87d4708843b7
III/25	1	thm:iii25-01	Green representation	proof sketch	yes	101	ee2bdde60c7277af582447d2a79373519b2736cb441b69dc96712059e9024cb8
III/25	2	thm:iii25-02	Symmetry for self-adjoint problems	proved	yes	108	8dbf94aaeff345be6a5f696a543a15e2c9b454782b85d83a129f5eedeaa6c370
III/25	3	thm:iii25-03	Derivative jump in one dimension	proved	yes	115	5d9035cfda696a19022ab780f32c283c7ffeeb45780fb37a1c3b135eaf770b63
III/26	1	thm:iii26-01	Green-kernel construction	proved	yes	91	dad97127d5db22deda2fc1b092aaf50ceb386d0d688482a04b63455042b52172
III/26	2	thm:iii26-02	Symmetry	proved	yes	98	ce7a0384c82d31760be979ed05330d7abd20f58062edc5dc43bd8c944f8be51f
III/26	3	thm:iii26-03	Spectral resolvent expansion	proved	yes	105	8ff904a329cd525769ee733f1637aab4c5826bfdf3a981a0cdc5f25bf09da914
III/27	1	thm:iii27-01	Weak maximum principle	proved	yes	95	5032122c778dc03cbb4cb6c553ea78167bbf9c14adc253838b148840d1b7fa05
III/27	2	thm:iii27-02	Comparison principle	proved	yes	102	c351294c18dffd13641d3970cbba37caa7d93f34385e550b506301d5d4dadd1f
III/27	3	thm:iii27-03	Dirichlet uniqueness	proved	yes	109	a950ccebf7102d5ab339ec3032155d4a4cbfbd9d870ffc43d99e5f8b0486e4e6
III/28	1	thm:iii28-01	Heat transform solution	proved	yes	101	2c262f34eec355ab9df0adb10a21dc8128b875809291e75ae3c27646279cee83
III/28	2	thm:iii28-02	Spectral heat expansion	proved	yes	108	c93d0f99a7874e059ed92569b035df0a811f04460af409cc3c2d59d9aaa60b78
III/28	3	thm:iii28-03	Resolvent diagonalization	proved	yes	115	8668d60a182a0b44503b9579e3eec6885364f963f1df8d07a277389da0470b64
