volume	chapter	architecture	examples	exercises	hints	problems	solutions	labels	added_examples	added_exercises	added_hints	added_solutions
IV	IV/13	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/14	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/15	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/16	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/17	direct-chapter	7	24	24	12	36	48	0	0	0	0
IV	IV/18	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/19	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/20	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/21	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/22	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/23	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/24	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/25	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/26	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/27	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/28	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/29	direct-chapter	7	24	24	12	36	48	0	0	0	0
IV	IV/30	direct-chapter	7	24	24	12	36	47	0	0	0	0
IV	IV/31	direct-chapter	7	24	24	12	36	48	0	0	0	0
V	V/01	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/02	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/03	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/04	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/05	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/06	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/07	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/08	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/09	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/10	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/11	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/12	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/13	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/14	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/15	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/16	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/17	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/18	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/19	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/20	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/21	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/22	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/23	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/24	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/25	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/26	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/27	direct-chapter	7	24	24	12	36	47	0	0	0	0
V	V/28	direct-chapter	7	24	24	12	36	47	0	0	0	0
VI	VI/01	direct-chapter	10	16	16	0	16	50	0	0	0	0
VI	VI/02	direct-chapter	3	16	16	0	16	45	0	0	0	0
VI	VI/03	direct-chapter	3	16	16	0	16	39	0	0	0	0
VI	VI/04	direct-chapter	10	16	16	0	16	40	0	0	0	0
VI	VI/05	direct-chapter	5	16	16	0	16	35	0	0	0	0
VI	VI/06	direct-chapter	4	16	16	0	16	29	0	0	0	0
VI	VI/07	direct-chapter	3	16	16	15	16	20	0	0	0	0
VI	VI/08	direct-chapter	3	16	16	16	16	20	0	0	0	0
VI	VI/09	direct-chapter	3	16	16	18	16	20	0	0	0	0
VI	VI/10	direct-chapter	3	16	16	17	16	20	0	0	0	0
VI	VI/11	direct-chapter	3	16	16	20	16	20	0	0	0	0
VI	VI/12	direct-chapter	3	16	16	22	16	20	0	0	0	0
VI	VI/13	direct-chapter	5	16	16	0	16	20	0	0	0	0
VI	VI/14	direct-chapter	3	16	16	0	16	20	0	0	0	0
VI	VI/15	direct-chapter	3	16	16	0	16	20	0	0	0	0
VI	VI/16	direct-chapter	3	16	16	0	16	23	0	0	0	0
VI	VI/17	direct-chapter	3	16	16	0	16	22	0	0	0	0
VI	VI/18	direct-chapter	3	16	16	0	16	20	0	0	0	0
VI	VI/19	direct-chapter	3	16	16	0	16	20	0	0	0	0
VI	VI/20	direct-chapter	3	16	16	0	16	20	0	0	0	0
VI	VI/21	direct-chapter	3	16	16	0	16	27	0	0	0	0
VI	VI/22	direct-chapter	3	16	16	0	16	25	0	0	0	0
VI	VI/23	direct-chapter	3	16	16	0	16	23	0	0	0	0
VI	VI/24	direct-chapter	3	16	16	0	16	23	0	0	0	0
VI	VI/25	direct-chapter	3	16	16	0	16	24	0	0	0	0
VI	VI/26	direct-chapter	3	16	16	0	16	28	0	0	0	0
VI	VI/27	direct-chapter	3	16	16	0	16	28	0	0	0	0
VI	VI/28	direct-chapter	3	16	16	0	16	27	0	0	0	0
VI	VI/29	direct-chapter	3	16	16	0	16	29	0	0	0	0
VI	VI/30	direct-chapter	3	16	16	0	16	38	0	0	0	0
VI	VI/31	direct-chapter	3	16	16	0	16	40	0	0	0	0
VI	VI/32	direct-chapter	3	16	16	0	16	41	0	0	0	0
VI	VI/33	direct-chapter	3	16	16	0	16	20	0	0	0	0
VI	VI/34	direct-chapter	3	16	16	0	16	20	0	0	0	0
VI	VI/35	direct-chapter	3	16	16	0	16	24	0	0	0	0
VI	VI/36	direct-chapter	3	16	16	0	16	25	0	0	0	0
VI	VI/37	direct-chapter	4	16	16	0	16	26	0	0	0	0
VI	VI/38	direct-chapter	3	16	16	0	16	33	0	0	0	0
VI	VI/39	direct-chapter	22	40	40	17	16	97	0	0	0	0
VI	VI/40	direct-chapter	22	40	40	17	16	99	0	0	0	0
VI	VI/41	direct-chapter	8	40	16	17	16	85	0	0	0	0
VI	VI/42	direct-chapter	3	40	16	17	16	79	0	0	0	0
VI	VI/43	direct-chapter	7	40	16	17	16	79	0	0	0	0
VI	VI/44	direct-chapter	3	40	16	17	16	79	0	0	0	0
VI	VI/45	direct-chapter	3	40	16	17	16	79	0	0	0	0
VI	VI/46	direct-chapter	7	40	16	17	16	87	0	0	0	0
VI	VI/47	direct-chapter	6	40	16	17	16	87	0	0	0	0
VI	VI/48	direct-chapter	6	40	16	17	16	87	0	0	0	0
VI	VI/49	direct-chapter	4	40	16	17	16	87	0	0	0	0
VII	VII/01	split-pedagogy-layer	11	40	40	17	57	83	3	16	16	16
VII	VII/02	split-pedagogy-layer	5	40	40	17	57	78	3	16	16	16
VII	VII/03	split-pedagogy-layer	3	40	40	17	57	76	3	16	16	16
VII	VII/04	split-pedagogy-layer	6	40	40	17	57	87	3	16	16	16
VII	VII/05	split-pedagogy-layer	5	40	40	17	57	81	3	16	16	16
VII	VII/06	split-pedagogy-layer	7	40	40	17	57	84	3	16	16	16
VII	VII/07	split-pedagogy-layer	8	40	40	17	57	81	3	16	16	16
VII	VII/08	split-pedagogy-layer	6	40	40	17	57	84	3	16	16	16
VII	VII/09	split-pedagogy-layer	7	40	40	17	57	81	3	16	16	16
VII	VII/10	split-pedagogy-layer	6	40	40	17	57	85	3	16	16	16
VII	VII/11	split-pedagogy-layer	6	40	40	17	57	78	3	16	16	16
VII	VII/12	split-pedagogy-layer	7	40	40	17	57	85	3	16	16	16
VII	VII/13	split-pedagogy-layer	5	40	40	17	57	78	3	16	16	16
VII	VII/14	split-pedagogy-layer	8	40	40	17	57	83	3	16	16	16
VII	VII/15	split-pedagogy-layer	7	40	40	17	57	81	3	16	16	16
VII	VII/16	split-pedagogy-layer	6	40	40	17	57	76	3	16	16	16
VII	VII/17	split-pedagogy-layer	7	40	40	17	57	80	3	16	16	16
VII	VII/18	split-pedagogy-layer	7	40	40	17	57	78	3	16	16	16
VII	VII/19	split-pedagogy-layer	6	40	40	17	57	77	3	16	16	16
VII	VII/20	split-pedagogy-layer	7	40	40	17	57	85	3	16	16	16
VII	VII/21	split-pedagogy-layer	5	40	40	17	57	81	3	16	16	16
VII	VII/22	split-pedagogy-layer	6	40	40	17	57	76	3	16	16	16
VII	VII/23	split-pedagogy-layer	7	40	40	17	57	82	3	16	16	16
VII	VII/24	split-pedagogy-layer	6	40	40	17	57	81	3	16	16	16
VII	VII/25	split-pedagogy-layer	6	40	40	17	57	83	3	16	16	16
VII	VII/26	split-pedagogy-layer	6	40	40	17	57	79	3	16	16	16
VII	VII/27	split-pedagogy-layer	5	40	40	17	57	77	3	16	16	16
VII	VII/28	split-pedagogy-layer	6	40	40	17	57	77	3	16	16	16
VII	VII/29	split-pedagogy-layer	5	40	40	17	57	78	3	16	16	16
VII	VII/30	split-pedagogy-layer	3	40	40	17	57	74	3	16	16	16
VII	VII/31	split-pedagogy-layer	3	40	40	17	57	81	3	16	16	16
VII	VII/32	split-pedagogy-layer	5	40	40	17	57	77	3	16	16	16
VII	VII/33	split-pedagogy-layer	3	40	40	17	57	76	3	16	16	16
VII	VII/34	split-pedagogy-layer	4	40	40	17	57	76	3	16	16	16
VII	VII/35	split-pedagogy-layer	4	40	40	17	57	76	3	16	16	16
VII	VII/36	split-pedagogy-layer	3	40	40	17	57	70	3	16	16	16
VII	VII/37	split-pedagogy-layer	4	40	40	17	57	71	3	16	16	16
VII	VII/38	split-pedagogy-layer	4	40	40	17	57	74	3	16	16	16
VII	VII/39	split-pedagogy-layer	4	40	40	17	57	72	3	16	16	16
VII	VII/40	split-pedagogy-layer	3	40	40	17	57	70	3	16	16	16
VII	VII/41	split-pedagogy-layer	3	40	40	17	57	73	3	16	16	16
VII	VII/42	split-pedagogy-layer	6	40	40	17	57	75	3	16	16	16
VIII	VIII/01	split-pedagogy-layer	9	40	40	12	52	80	3	16	16	16
VIII	VIII/02	split-pedagogy-layer	10	40	40	12	52	80	3	16	16	16
VIII	VIII/03	split-pedagogy-layer	4	40	40	12	52	74	3	16	16	16
VIII	VIII/04	split-pedagogy-layer	3	40	40	20	60	78	3	16	16	16
VIII	VIII/05	split-pedagogy-layer	8	40	40	24	64	83	3	16	16	16
VIII	VIII/06	split-pedagogy-layer	7	40	40	20	60	85	3	16	16	16
VIII	VIII/07	split-pedagogy-layer	3	40	40	20	60	78	3	16	16	16
VIII	VIII/08	split-pedagogy-layer	3	40	40	20	60	76	3	16	16	16
VIII	VIII/09	split-pedagogy-layer	5	40	40	24	64	84	3	16	16	16
VIII	VIII/10	split-pedagogy-layer	6	40	40	24	64	83	3	16	16	16
VIII	VIII/11	split-pedagogy-layer	3	40	40	22	62	76	3	16	16	16
VIII	VIII/12	split-pedagogy-layer	3	40	40	24	64	81	3	16	16	16
VIII	VIII/13	split-pedagogy-layer	3	40	40	20	60	74	3	16	16	16
VIII	VIII/14	split-pedagogy-layer	4	40	40	20	60	78	3	16	16	16
VIII	VIII/15	split-pedagogy-layer	6	40	40	24	64	88	3	16	16	16
VIII	VIII/16	split-pedagogy-layer	4	40	40	22	62	80	3	16	16	16
VIII	VIII/17	split-pedagogy-layer	3	40	40	24	64	81	3	16	16	16
VIII	VIII/18	split-pedagogy-layer	3	40	40	24	64	74	3	16	16	16
VIII	VIII/19	split-pedagogy-layer	3	40	40	24	64	77	3	16	16	16
VIII	VIII/20	split-pedagogy-layer	3	40	40	22	62	76	3	16	16	16
VIII	VIII/21	split-pedagogy-layer	3	40	40	24	64	75	3	16	16	16
VIII	VIII/22	split-pedagogy-layer	3	40	40	24	64	73	3	16	16	16
VIII	VIII/23	split-pedagogy-layer	3	40	40	24	64	72	3	16	16	16
VIII	VIII/24	split-pedagogy-layer	3	40	40	22	62	73	3	16	16	16
VIII	VIII/25	split-pedagogy-layer	3	40	40	24	64	70	3	16	16	16
VIII	VIII/26	split-pedagogy-layer	3	40	40	22	62	68	3	16	16	16
VIII	VIII/27	split-pedagogy-layer	3	40	40	24	64	70	3	16	16	16
VIII	VIII/28	split-pedagogy-layer	3	40	40	20	60	71	3	16	16	16
VIII	VIII/29	split-pedagogy-layer	3	40	40	22	62	72	3	16	16	16
VIII	VIII/30	split-pedagogy-layer	3	40	40	22	62	72	3	16	16	16
VIII	VIII/31	split-pedagogy-layer	3	40	40	20	60	49	3	16	16	16
VIII	VIII/32	split-pedagogy-layer	3	40	40	20	60	48	3	16	16	16
VIII	VIII/33	split-pedagogy-layer	3	40	40	20	60	48	3	16	16	16
VIII	VIII/34	split-pedagogy-layer	3	40	40	20	60	48	3	16	16	16
VIII	VIII/35	split-pedagogy-layer	3	40	40	20	60	48	3	16	16	16
