label	chapter	status	hint
exr:i09-03	I/09	PASS	If the zero vector were allowed, it would satisfy \(T0=\lambda0\) for every scalar \(\lambda\); explain why that carries no spectral information.
exr:i09-04	I/09	PASS	Use \(E_\lambda=\ker(T-\lambda I)\) and the fact that kernels of linear maps are subspaces.
exr:i09-05	I/09	PASS	Compare the roots of the same characteristic polynomial over \(\mathbb R\) and over \(\mathbb C\).
exr:i10-01	I/10	PASS	If \(v\in E_\lambda\), compute \(T(v)\) and check that it remains in the same eigenspace.
exr:i10-04	I/10	PASS	For a diagonal operator, try the span of any subset of eigenbasis vectors.
exr:i10-05	I/10	PASS	A real triangular matrix has real diagonal eigenvalues; compare this with a real rotation having no real eigenvalue.
exr:i10-06	I/10	PASS	The matrix \(tI-A\) is triangular; take the product of its diagonal entries.
exr:i11-04	I/11	PASS	Use \(V=\operatorname{im}P\oplus\ker P\) and determine how \(P\) acts on each summand.
exr:i11-07	I/11	PASS	Use the Lagrange polynomial that is \(1\) at \(\lambda_i\) and \(0\) at every other eigenvalue.
exr:i13-03	I/13	PASS	A vector \((a,b)\) is orthogonal to every vector on the \(x\)-axis exactly when its first coordinate is zero.
exr:i13-04	I/13	PASS	Expand both squared norms and cancel the cross terms.
exr:i13-06	I/13	PASS	If \(v\in U\cap U^\perp\), test \(\langle v,v\rangle\).
exr:i14-05	I/14	PASS	In reduced QR with full column rank, \(Q\) has one orthonormal column for each column of \(A\), while \(R\) is square \(n\times n\).
exr:i15-02	I/15	PASS	Take determinants in \(Q^TQ=I\) and use \(\det(Q^T)=\det Q\).
exr:i15-03	I/15	PASS	Set \(P=uu^T\); use \(P^2=P=P^T\) to compute \((I-2P)^T(I-2P)\).
exr:i15-04	I/15	PASS	Apply the unitary operator to an orthonormal basis and use inner-product preservation.
exr:i15-05	I/15	PASS	Use \(Q^{-1}=Q^*\), then compute the adjoint of \(Q^{-1}\).
exr:i15-06	I/15	PASS	A diagonal matrix with one \(-1\) and the remaining diagonal entries \(1\) gives an immediate example.
exr:i15-07	I/15	PASS	If \(Uv=\lambda v\), compare \(\|Uv\|\) with \(\|v\|\).
exr:i16-01	I/16	PASS	For \(Tv=\lambda v\), compare \(\langle Tv,v\rangle\) with \(\langle v,Tv\rangle\) using the stated complex convention.
exr:i16-02	I/16	PASS	Find the two eigenspaces, normalize one vector in each, and use them as columns of an orthogonal matrix.
exr:i16-03	I/16	PASS	Use \(U^*U=UU^*=I\).
exr:i16-04	I/16	PASS	Apply positivity to an eigenvector: \(\langle Tv,v\rangle=\lambda\|v\|^2\).
exr:i16-06	I/16	PASS	For \(w\in U^\perp\) and \(u\in U\), rewrite \(\langle Tw,u\rangle\) using self-adjointness.
exr:i17-02	I/17	PASS	Expand \(q(u+v)\) using bilinearity and symmetry, then solve for \(B(u,v)\).
exr:i17-03	I/17	PASS	Substitute \(x=Py\) into \(x^TAx\) and collect the two factors of \(P\).
exr:i17-06	I/17	PASS	If \(Av=0\) for a nonzero vector \(v\), evaluate \(v^TAv\).
exr:i17-07	I/17	PASS	Use the orthogonal variables \(u=(x+y)/\sqrt2\), \(v=(x-y)/\sqrt2\), then solve for \(x,y\).
exr:i18-01	I/18	PASS	Compute \(A^*A\); the singular values are the nonnegative square roots of its eigenvalues.
exr:i18-02	I/18	PASS	For any \(v\), compute \(\langle A^*Av,v\rangle=\|Av\|^2\).
exr:i18-03	I/18	PASS	One inclusion is immediate; for the converse use \(\langle A^*Av,v\rangle=\|Av\|^2\).
exr:i18-05	I/18	PASS	Reciprocate only the positive diagonal singular values and transpose the rectangular shape.
exr:i18-06	I/18	PASS	Diagonalization requires an endomorphism; SVD instead uses orthonormal bases in the domain and codomain separately.
