source_file	source_block_id	destination	precedence	source_exists	canonical_status
theory-of-analysis-II.tex	T01.EXERCISE_CHILDREN	II/11	90	YES	ROUTED
theory-of-analysis-II.tex	T01.THEORY_CHILDREN	II/11	90	YES	ROUTED
theory-of-analysis-II.tex	T02.EXERCISE_CHILDREN	II/12	90	YES	ROUTED
theory-of-analysis-II.tex	T02.THEORY_CHILDREN	II/12	90	YES	ROUTED
theory-of-analysis-II.tex	T03.EXERCISE_CHILDREN	II/13	90	YES	ROUTED
theory-of-analysis-II.tex	T03.THEORY_CHILDREN	II/13	90	YES	ROUTED
theory-of-analysis-II.tex	T04.EXERCISE_CHILDREN	II/14	90	YES	ROUTED
theory-of-analysis-II.tex	T04.THEORY_CHILDREN	II/14	90	YES	ROUTED
theory-of-analysis-II.tex	T05.EXERCISE_CHILDREN	II/10	90	YES	ROUTED
theory-of-analysis-II.tex	T05.THEORY_CHILDREN	II/10	90	YES	ROUTED
theory-of-analysis-II.tex	T06.EXERCISE_CHILDREN	II/18	90	YES	ROUTED
theory-of-analysis-II.tex	T06.THEORY_CHILDREN	II/18	90	YES	ROUTED
theory-of-analysis-II.tex	T07.EXERCISE_CHILDREN	II/19	90	YES	ROUTED
theory-of-analysis-II.tex	T07.THEORY_CHILDREN	II/19	90	YES	ROUTED
theory-of-analysis-II.tex	FALLBACK.ALL_UNMATCHED	II/11	10	YES	ROUTED
theory-of-analysis-numbers.tex	T01.SECTION	II/25	100	YES	ROUTED
theory-of-analysis-numbers.tex	T02.SECTION	II/22	100	YES	ROUTED
theory-of-analysis-numbers.tex	T03.SECTION	II/20	100	YES	ROUTED
theory-of-analysis-numbers.tex	T04.SECTION	II/24	100	YES	ROUTED
theory-of-analysis-numbers.tex	T01.EXERCISE_CHILDREN	II/25	90	YES	ROUTED
theory-of-analysis-numbers.tex	T01.THEORY_CHILDREN	II/25	90	YES	ROUTED
theory-of-analysis-numbers.tex	T02.EXERCISE_CHILDREN	II/22	90	YES	ROUTED
theory-of-analysis-numbers.tex	T02.THEORY_CHILDREN	II/22	90	YES	ROUTED
theory-of-analysis-numbers.tex	T03.EXERCISE_CHILDREN	II/20	90	YES	ROUTED
theory-of-analysis-numbers.tex	T03.THEORY_CHILDREN	II/20	90	YES	ROUTED
theory-of-analysis-numbers.tex	T04.EXERCISE_CHILDREN	II/24	90	YES	ROUTED
theory-of-analysis-numbers.tex	T04.THEORY_CHILDREN	II/24	90	YES	ROUTED
theory-of-analysis-numbers.tex	FALLBACK.ALL_UNMATCHED	II/25	10	YES	ROUTED
theory-of-analysis-topics.tex	T01.SECTION	II/20	100	YES	ROUTED
theory-of-analysis-topics.tex	T02.SECTION	II/21	100	YES	ROUTED
theory-of-analysis-topics.tex	T03.SECTION	II/22	100	YES	ROUTED
theory-of-analysis-topics.tex	T04.SECTION	II/23	100	YES	ROUTED
theory-of-analysis-topics.tex	T05.SECTION	II/24	100	YES	ROUTED
theory-of-analysis-topics.tex	T01.EXERCISE_CHILDREN	II/20	90	YES	ROUTED
theory-of-analysis-topics.tex	T01.THEORY_CHILDREN	II/20	90	YES	ROUTED
theory-of-analysis-topics.tex	T02.EXERCISE_CHILDREN	II/21	90	YES	ROUTED
theory-of-analysis-topics.tex	T02.THEORY_CHILDREN	II/21	90	YES	ROUTED
theory-of-analysis-topics.tex	T03.EXERCISE_CHILDREN	II/22	90	YES	ROUTED
theory-of-analysis-topics.tex	T03.THEORY_CHILDREN	II/22	90	YES	ROUTED
theory-of-analysis-topics.tex	T04.EXERCISE_CHILDREN	II/23	90	YES	ROUTED
theory-of-analysis-topics.tex	T04.THEORY_CHILDREN	II/23	90	YES	ROUTED
theory-of-analysis-topics.tex	T05.EXERCISE_CHILDREN	II/24	90	YES	ROUTED
theory-of-analysis-topics.tex	T05.THEORY_CHILDREN	II/24	90	YES	ROUTED
theory-of-analysis-topics.tex	FALLBACK.ALL_UNMATCHED	II/22	10	YES	ROUTED
theory-of-analysis-topology.tex	T01.SECTION	II/04	100	YES	ROUTED
theory-of-analysis-topology.tex	T02.SECTION	II/05	100	YES	ROUTED
theory-of-analysis-topology.tex	T03.SECTION	II/06	100	YES	ROUTED
theory-of-analysis-topology.tex	T04.SECTION	II/07	100	YES	ROUTED
theory-of-analysis-topology.tex	T05.SECTION	II/03	100	YES	ROUTED
theory-of-analysis-topology.tex	T01.EXERCISE_CHILDREN	II/04	90	YES	ROUTED
theory-of-analysis-topology.tex	T01.THEORY_CHILDREN	II/04	90	YES	ROUTED
theory-of-analysis-topology.tex	T02.EXERCISE_CHILDREN	II/05	90	YES	ROUTED
theory-of-analysis-topology.tex	T02.THEORY_CHILDREN	II/05	90	YES	ROUTED
theory-of-analysis-topology.tex	T03.EXERCISE_CHILDREN	II/06	90	YES	ROUTED
theory-of-analysis-topology.tex	T03.THEORY_CHILDREN	II/06	90	YES	ROUTED
theory-of-analysis-topology.tex	T04.EXERCISE_CHILDREN	II/07	90	YES	ROUTED
theory-of-analysis-topology.tex	T04.THEORY_CHILDREN	II/07	90	YES	ROUTED
theory-of-analysis-topology.tex	T05.EXERCISE_CHILDREN	II/03	90	YES	ROUTED
theory-of-analysis-topology.tex	T05.THEORY_CHILDREN	II/03	90	YES	ROUTED
theory-of-analysis-topology.tex	FALLBACK.ALL_UNMATCHED	II/04	10	YES	ROUTED
theory-of-analysis.tex	T01.SECTION	II/06	100	YES	ROUTED
theory-of-analysis.tex	T02.SECTION	II/07	100	YES	ROUTED
theory-of-analysis.tex	T03.SECTION	II/05	100	YES	ROUTED
theory-of-analysis.tex	T04.SECTION	II/16	100	YES	ROUTED
theory-of-analysis.tex	T05.SECTION	II/17	100	YES	ROUTED
theory-of-analysis.tex	T06.SECTION	II/18	100	YES	ROUTED
theory-of-analysis.tex	T07.SECTION	II/19	100	YES	ROUTED
theory-of-analysis.tex	T01.EXERCISE_CHILDREN	II/06	90	YES	ROUTED
theory-of-analysis.tex	T01.THEORY_CHILDREN	II/06	90	YES	ROUTED
theory-of-analysis.tex	T02.EXERCISE_CHILDREN	II/07	90	YES	ROUTED
theory-of-analysis.tex	T02.THEORY_CHILDREN	II/07	90	YES	ROUTED
theory-of-analysis.tex	T03.EXERCISE_CHILDREN	II/05	90	YES	ROUTED
theory-of-analysis.tex	T03.THEORY_CHILDREN	II/05	90	YES	ROUTED
theory-of-analysis.tex	T04.EXERCISE_CHILDREN	II/16	90	YES	ROUTED
theory-of-analysis.tex	T04.THEORY_CHILDREN	II/16	90	YES	ROUTED
theory-of-analysis.tex	T05.EXERCISE_CHILDREN	II/17	90	YES	ROUTED
theory-of-analysis.tex	T05.THEORY_CHILDREN	II/17	90	YES	ROUTED
theory-of-analysis.tex	T06.EXERCISE_CHILDREN	II/18	90	YES	ROUTED
theory-of-analysis.tex	T06.THEORY_CHILDREN	II/18	90	YES	ROUTED
theory-of-analysis.tex	T07.EXERCISE_CHILDREN	II/19	90	YES	ROUTED
theory-of-analysis.tex	T07.THEORY_CHILDREN	II/19	90	YES	ROUTED
theory-of-analysis.tex	FALLBACK.ALL_UNMATCHED	II/06	10	YES	ROUTED
theory-of-complex-analysis-topology.tex	T01.SECTION	II/04	100	YES	ROUTED
theory-of-complex-analysis-topology.tex	T02.SECTION	II/06	100	YES	ROUTED
theory-of-complex-analysis-topology.tex	T01.EXERCISE_CHILDREN	II/04	90	YES	ROUTED
theory-of-complex-analysis-topology.tex	T01.THEORY_CHILDREN	II/04	90	YES	ROUTED
theory-of-complex-analysis-topology.tex	T02.EXERCISE_CHILDREN	II/06	90	YES	ROUTED
theory-of-complex-analysis-topology.tex	T02.THEORY_CHILDREN	II/06	90	YES	ROUTED
theory-of-complex-analysis-topology.tex	FALLBACK.ALL_UNMATCHED	II/04	10	YES	ROUTED
theory-of-real-analysis.tex	T01.SECTION	II/01	100	YES	ROUTED
theory-of-real-analysis.tex	T02.SECTION	II/02	100	YES	ROUTED
theory-of-real-analysis.tex	T03.SECTION	II/03	100	YES	ROUTED
theory-of-real-analysis.tex	T04.SECTION	II/04	100	YES	ROUTED
theory-of-real-analysis.tex	T05.SECTION	II/05	100	YES	ROUTED
theory-of-real-analysis.tex	T06.SECTION	II/06	100	YES	ROUTED
theory-of-real-analysis.tex	T07.SECTION	II/07	100	YES	ROUTED
theory-of-real-analysis.tex	T08.SECTION	II/10	100	YES	ROUTED
theory-of-real-analysis.tex	T01.EXERCISE_CHILDREN	II/01	90	YES	ROUTED
theory-of-real-analysis.tex	T01.THEORY_CHILDREN	II/01	90	YES	ROUTED
theory-of-real-analysis.tex	T02.EXERCISE_CHILDREN	II/02	90	YES	ROUTED
theory-of-real-analysis.tex	T02.THEORY_CHILDREN	II/02	90	YES	ROUTED
theory-of-real-analysis.tex	T03.EXERCISE_CHILDREN	II/03	90	YES	ROUTED
theory-of-real-analysis.tex	T03.THEORY_CHILDREN	II/03	90	YES	ROUTED
theory-of-real-analysis.tex	T04.EXERCISE_CHILDREN	II/04	90	YES	ROUTED
theory-of-real-analysis.tex	T04.THEORY_CHILDREN	II/04	90	YES	ROUTED
theory-of-real-analysis.tex	T05.EXERCISE_CHILDREN	II/05	90	YES	ROUTED
theory-of-real-analysis.tex	T05.THEORY_CHILDREN	II/05	90	YES	ROUTED
theory-of-real-analysis.tex	T06.EXERCISE_CHILDREN	II/06	90	YES	ROUTED
theory-of-real-analysis.tex	T06.THEORY_CHILDREN	II/06	90	YES	ROUTED
theory-of-real-analysis.tex	T07.EXERCISE_CHILDREN	II/07	90	YES	ROUTED
theory-of-real-analysis.tex	T07.THEORY_CHILDREN	II/07	90	YES	ROUTED
theory-of-real-analysis.tex	T08.EXERCISE_CHILDREN	II/10	90	YES	ROUTED
theory-of-real-analysis.tex	T08.THEORY_CHILDREN	II/10	90	YES	ROUTED
theory-of-real-analysis.tex	FALLBACK.ALL_UNMATCHED	II/01	10	YES	ROUTED
