solution_id	source_id	solution_source_file	solution_line_range	solution_kind	source_problem_number	linked_problem_id	link_status	reconciliation_status	reconciliation_method	reconciliation_confidence	candidate_problem_ids	solution_text_hash	solution_semantic_unit_id	refinement_status	refinement_method	editorial_resolution_status	editorial_resolution_method	previous_linked_problem_id	structural_relink_status	structural_relink_method	previous_candidate_problem_ids	editorial_note	editorial_decision	editorial_rationale
IMP-DL-77AFEAC262-S001	IMP-DL-77AFEAC262	Downloads/merged_exercises_FULL (2).tex	L44-L46	SOLUTION	3.4	IMP-DL-77AFEAC262-P002	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-77AFEAC262-P002	9c373250c86d15d7d97d6300e90eb8be6baf772e023679524e2410fa77f027e0	SOLSEM-88A0DC766E4C											
IMP-DL-20E278E436-S001	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L318-L320	SOLUTION	3.4	IMP-DL-20E278E436-P018	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-P018	9c373250c86d15d7d97d6300e90eb8be6baf772e023679524e2410fa77f027e0	SOLSEM-88A0DC766E4C											
IMP-DL-20E278E436-S002	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L333-L365	SOLUTION	3.5	IMP-DL-20E278E436-P019	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-P019	ca6c22c9a36eb3657c610009bba68646fa8fbfd03a77168f730b5c8a1b2c67ef	SOLSEM-9B134EDBC468											
IMP-DL-20E278E436-S003	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L375-L380	SOLUTION	3.6	IMP-DL-20E278E436-P020	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-P020	4fe73a3a8e99992ee80c138332ee7fdae801e0f3aae5be801a3178f08db2cfdf	SOLSEM-52CED4CD2963											
IMP-DL-20E278E436-S004	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L394-L406	SOLUTION	3.6	IMP-DL-20E278E436-P020	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-P020	9b406286ece9ce28c08c44095e8fdcc1b8f8b603b43d81d0439473e97c3fb7f1	SOLSEM-B92321A2E77D											
IMP-DL-20E278E436-S005	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L411-L416	SOLUTION	3.6	IMP-DL-20E278E436-P020	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-P020	9938cd3e78ee67c3b3d16e02bbe8e68604b9a9f49472a8e52bc86b5f7db46e03	SOLSEM-D71F8DA490E5											
IMP-DL-20E278E436-S006	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L457-L461	SOLUTION	3.8	IMP-DL-20E278E436-P021	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-P021	11345c405fdb0fea83950fe0b0804b2976a75f68f7513009f5afe17d88573bc6	SOLSEM-470710B7AD30											
IMP-DL-20E278E436-S007	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L469-L480	SOLUTION	3.8	IMP-DL-20E278E436-P021	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-P021	ca2e85b1b0fd9d4143324d0e1773ba63efee701954f9a61eb33822b66fee4c47	SOLSEM-DF98139C7582											
IMP-DL-20E278E436-S008	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L487-L496	SOLUTION	3.8	IMP-DL-20E278E436-P021	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-P021	d4030911241b0130bfea938b9af319ae343d7fd7a9492c0ae2f2290d82408abb	SOLSEM-D65C0132FF6D											
IMP-DL-20E278E436-S009	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L502-L509	SOLUTION	3.8	IMP-DL-20E278E436-P022	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-P022	0931ee91e9139ce0367cccde5f5dc61b18e598c5587c59c047505cb549c00cd2	SOLSEM-F00820DC928D											
IMP-DL-20E278E436-S010	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L519-L527	SOLUTION	3.9	IMP-DL-20E278E436-R000511-7402CDFC	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000511-7402CDFC	1681823bdd90d3a600f3f13d1457417ea4f8ae32248e220b6ada5e1511e1b65a	SOLSEM-B50A17D1E0E1					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
IMP-DL-20E278E436-S011	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L576-L587	SOLUTION	4.1	IMP-DL-20E278E436-R000511-7402CDFC	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000511-7402CDFC	2ba953aae9b50f2bdd3ec2845c4cfce9370a51b805daaa59305c042f500519b8	SOLSEM-32533806C6A4					IMP-DL-20E278E436-P023	RELINKED	SAME_FILE_NEAREST_PRECEDING_CHILD				
IMP-DL-20E278E436-S012	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L590-L599	SOLUTION	4.2	IMP-DL-20E278E436-R000511-7402CDFC	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000511-7402CDFC	50bc3c499e1053d2b5f61a1d2064c4ad5b2a8a1be9610259601e71058a451b0c	SOLSEM-561D796840F3					IMP-DL-20E278E436-P023	RELINKED	SAME_FILE_NEAREST_PRECEDING_CHILD				
IMP-DL-20E278E436-S013	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L602-L607	SOLUTION	4.3	IMP-DL-20E278E436-R000511-7402CDFC	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000511-7402CDFC	e8039c0bb10079d41927273b34106af516e8f575c2753c664c6fba9be15f8542	SOLSEM-8C64B3E5FE56					IMP-DL-20E278E436-P023	RELINKED	SAME_FILE_NEAREST_PRECEDING_CHILD				
IMP-DL-20E278E436-S014	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L610-L616	SOLUTION	4.4	IMP-DL-20E278E436-R000511-7402CDFC	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000511-7402CDFC	0802025f24773f1f819abd675ea50035b392a54376d12784b65eb75175b6830a	SOLSEM-C8093323C4B4					IMP-DL-20E278E436-P023	RELINKED	SAME_FILE_NEAREST_PRECEDING_CHILD				
IMP-DL-20E278E436-S015	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L635-L657	SOLUTION	4.5	IMP-DL-20E278E436-R000618-FE3FC0F2	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000618-FE3FC0F2	290795795cdfbf8f672c4b63f7d84dae3419a86b9eea6eead7cc46d9e65a6a74	SOLSEM-03F4398FDD5A					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
IMP-DL-20E278E436-S016	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L690-L736	SOLUTION	4.6	IMP-DL-20E278E436-R000660-3F09880F	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000660-3F09880F	34f141cfe4fed0e5b34fe278e0d7abd403f1926821621b4f9ba187725196be03	SOLSEM-6A49FF7F2F1F					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
IMP-DL-20E278E436-S017	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L750-L769	SOLUTION	4.7	IMP-DL-20E278E436-R000738-6D5EA944	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000738-6D5EA944	145ce57081ef4df4576a5553287cc5813f07ab754c8c67f6b283a27bac540ed2	SOLSEM-BF83B8B8AB3D					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
IMP-DL-20E278E436-S018	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L778-L786	SOLUTION	5.1	IMP-DL-20E278E436-R000771-009FEE51	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000771-009FEE51	9c8fa54e74a01b6405fb3442d6d91fe582a489b5b22cd2668f172b2aabb740be	SOLSEM-826429B6B7A0					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
IMP-DL-20E278E436-S019	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L792-L801	SOLUTION	5.2	IMP-DL-20E278E436-R000789-8383E1FD	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000789-8383E1FD	7a62acd7b70d8daba8fb72150fe1c35324c305ae79e8424d2591dddd70b4e5ed	SOLSEM-8FFBB44EBA57					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
IMP-DL-20E278E436-S020	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L810-L819	SOLUTION	5.3	IMP-DL-20E278E436-R000804-D56B67A7	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000804-D56B67A7	9911150326dd72cbcd398c3898b0816628fe42d6670f09bcc20da1c94ad2dd1c	SOLSEM-76BDC85380DE					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
IMP-DL-20E278E436-S021	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L835-L843	SOLUTION	5.4	IMP-DL-20E278E436-R000822-03FD1A79	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000822-03FD1A79	906f0a4079c5745ee4565102a57cbd6c2f9e16c4a6995f8df0f1c63d839e0389	SOLSEM-374DFE681CEE					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
IMP-DL-20E278E436-S022	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L878-L910	SOLUTION	5.5	IMP-DL-20E278E436-R000846-56A0F0C1	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000846-56A0F0C1	b0b334b7bb242107a426ab715c860d02fc20e4ffdb06cf8f7d79abfda8ad6b29	SOLSEM-C482716152A6					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
IMP-DL-20E278E436-S023	IMP-DL-20E278E436	Downloads/merged_exercises_FULL_v2 (1).tex	L931-L954	SOLUTION	5.6	IMP-DL-20E278E436-R000913-51C57284	LINKED_SAME_FILE	RESOLVED_EXISTING_LINK	STRUCTURAL_SAME_FILE	HIGH	IMP-DL-20E278E436-R000913-51C57284	24e68a26985024cd59a5195392cdc9352923c56f5414f66de7819a0dc674493b	SOLSEM-C78D99E6F35D					IMP-DL-20E278E436-P023	RELINKED	UNIQUE_SOURCE_NUMBER				
