problem_id	risk_family_id	source_file	source_line_range	line_span	diagnosis	disposition	clear_review_flag	rationale
IMP-DL-31FF76D7B8-PSR001082-9BF02932	PRF-004	Downloads/theory-of-algebraic-topology-16.tex	L1082-L2632	1551	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-31FF76D7B8-PSR002633-56FF06A5	PRF-004	Downloads/theory-of-algebraic-topology-16.tex	L2633-L3736	1104	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-E532B44856-PSR001309-C15334B1	PRF-045	Downloads/theory-of-analysis-functions-II.tex	L1309-L1965	657	NESTED_SUBEXAMPLES_OR_SUBOBJECTS	CONFIRMED_SINGLE_OBJECT_WITH_NESTED_EXAMPLES	YES	Nested Example A/B/C and Green-function examples are worked illustrations inside the same analysis exposition, not sibling problems.
IMP-DL-316AE183C3-PSR000821-5A3EEF64	PRF-036	Downloads/theory-of-analysis-functions.tex	L821-L1389	569	NESTED_SUBEXAMPLES_OR_SUBOBJECTS	CONFIRMED_SINGLE_OBJECT_WITH_NESTED_EXAMPLES	YES	Nested paragraph Example is an illustrative calculation inside the same analysis object, not a sibling problem.
IMP-DL-EAE0F59552-PSR001065-6AB7FE80	PRF-010	Downloads/theory-of-analysis-topology.tex	L1065-L1646	582	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-EAE0F59552-PSR002479-42167B9C	PRF-010	Downloads/theory-of-analysis-topology.tex	L2479-L2978	500	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-ACE5A65961-PSR002461-36AA55A9	PRF-034	Downloads/theory-of-commutative-algebra-2.tex	L2461-L3105	645	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-8016517B0A-PSR002811-66864798	PRF-014	Downloads/theory-of-differential-geometry-1.tex	L2811-L4147	1337	NESTED_SUBEXAMPLES_OR_SUBOBJECTS	CONFIRMED_SINGLE_OBJECT_WITH_NESTED_EXAMPLES	YES	Nested 'Example at the north pole' is a local tangent-space illustration inside the same differential-geometry exposition.
IMP-DL-14663C23F1-PSR001722-887B100D	PRF-013	Downloads/theory-of-geometry-III.tex	L1722-L3223	1502	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-0EB9CBD958-PSR005095-8C10C036	PRF-059	Downloads/theory-of-geometry.tex	L5095-L5363	269	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-8D5CF4CFBA-PSR001118-D52E5A84	PRF-047	Downloads/theory-of-linear-algebra-2.tex	L1118-L1621	504	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-DL-183AD43C4C-PSR002637-86F3B19E	PRF-025	Downloads/theory-of-real-analysis.tex	L2637-L3175	539	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-M2-C037D998D4-PSR001309-C15334B1	PRF-045	MATH-ALLS-2/theory-of-analysis-functions-II.tex	L1309-L1965	657	NESTED_SUBEXAMPLES_OR_SUBOBJECTS	CONFIRMED_SINGLE_OBJECT_WITH_NESTED_EXAMPLES	YES	Nested Example A/B/C and Green-function examples are worked illustrations inside the same analysis exposition, not sibling problems.
IMP-M2-303BB87ACE-PSR000821-5A3EEF64	PRF-036	MATH-ALLS-2/theory-of-analysis-functions.tex	L821-L1389	569	NESTED_SUBEXAMPLES_OR_SUBOBJECTS	CONFIRMED_SINGLE_OBJECT_WITH_NESTED_EXAMPLES	YES	Nested paragraph Example is an illustrative calculation inside the same analysis object, not a sibling problem.
IMP-M2-7EA9DA1D72-PSR001065-6AB7FE80	PRF-010	MATH-ALLS-2/theory-of-analysis-topology.tex	L1065-L1646	582	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-M2-7EA9DA1D72-PSR002479-42167B9C	PRF-010	MATH-ALLS-2/theory-of-analysis-topology.tex	L2479-L2978	500	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-M2-2B58694CBF-PSR002811-66864798	PRF-014	MATH-ALLS-2/theory-of-differential-geometry-1.tex	L2811-L4147	1337	NESTED_SUBEXAMPLES_OR_SUBOBJECTS	CONFIRMED_SINGLE_OBJECT_WITH_NESTED_EXAMPLES	YES	Nested 'Example at the north pole' is a local tangent-space illustration inside the same differential-geometry exposition.
IMP-M2-155017A9AF-PSR001722-887B100D	PRF-013	MATH-ALLS-2/theory-of-geometry-III.tex	L1722-L3223	1502	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-M2-F4C85D52DC-PSR005095-8C10C036	PRF-059	MATH-ALLS-2/theory-of-geometry.tex	L5095-L5363	269	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-M2-1895C43FC6-PSR002637-86F3B19E	PRF-025	MATH-ALLS-2/theory-of-real-analysis.tex	L2637-L3175	539	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-M3-422B74F85F-PSR002187-D8475E88	PRF-008	MATH_ALLS-3/theory-of-algebraic-topology-1.tex	L2187-L2939	753	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-M3-251F2514E1-PSR002461-36AA55A9	PRF-034	MATH_ALLS-3/theory-of-commutative-algebra-2.tex	L2461-L3105	645	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
IMP-M3-911366A7C5-PSR002811-66864798	PRF-014	MATH_ALLS-3/theory-of-differential-geometry-1.tex	L2811-L4147	1337	NESTED_SUBEXAMPLES_OR_SUBOBJECTS	CONFIRMED_SINGLE_OBJECT_WITH_NESTED_EXAMPLES	YES	Nested 'Example at the north pole' is a local tangent-space illustration inside the same differential-geometry exposition.
IMP-M3-89937139FC-PSR001118-D52E5A84	PRF-047	MATH_ALLS-3/theory-of-linear-algebra-2.tex	L1118-L1621	504	LONG_SINGLE_OBJECT_NO_TERMINAL	RETAIΝ_LONG_CHILD_REVIEW	NO	Audit diagnosis LONG_SINGLE_OBJECT_NO_TERMINAL requires targeted/manual review.
