solution_semantic_unit_id	solution_text_hash	member_count	member_solution_ids	source_files	linked_statement_hashes_before	candidate_statement_hashes	resolution	resolved_statement_hash	resolved_problem_id
SOLSEM-FB8ED5368CD6	034189090c9bace6201c0c97f7ead6c740777faa267bea6c65d3d528e5103479	2	IMP-DL-0A181AC273-S011;IMP-M2-80AFB5AE64-S011	Downloads/theory-of-complex-analysis.tex;MATH-ALLS-2/theory-of-complex-analysis.tex	e0d56713578d01ef4c46b44cb337e7c744cab4954abb771064b0d3b16d1d5d2e	e0d56713578d01ef4c46b44cb337e7c744cab4954abb771064b0d3b16d1d5d2e	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	e0d56713578d01ef4c46b44cb337e7c744cab4954abb771064b0d3b16d1d5d2e	IMP-M2-80AFB5AE64-P024
SOLSEM-CDDE602E121E	0500451ccdc782d29b7836969e19247d9eed0e22a85084270d7cd646cc156942	1	IMP-DL-1608308E70-S003	Downloads/theory-of-algebraic-topology-14.tex	70544d024a6d7b0afff8e36a8416483687a48e7188048a8ca4324ffb95cb9c95	70544d024a6d7b0afff8e36a8416483687a48e7188048a8ca4324ffb95cb9c95	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	70544d024a6d7b0afff8e36a8416483687a48e7188048a8ca4324ffb95cb9c95	IMP-DL-1608308E70-P002
SOLSEM-47E3DC324F80	052ffc2e7c7a1e71a8a6bae3978296fd276e605c3b0a367a853b68cbcf11c6a4	2	IMP-DL-2370D81D66-S001;IMP-M2-D036BAB254-S001	Downloads/theory-of-analysis-FD.tex;MATH-ALLS-2/theory-of-analysis-FD.tex	99253661782679169cf7c2f94ea14f971a9282b49b16f131f4f0ec2a62c9cff9	99253661782679169cf7c2f94ea14f971a9282b49b16f131f4f0ec2a62c9cff9	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	99253661782679169cf7c2f94ea14f971a9282b49b16f131f4f0ec2a62c9cff9	IMP-M2-D036BAB254-P007
SOLSEM-20BD4F075447	054310933f6a128aaf2a27ccef13b83623bc3f12077aa7783652e2d1d39b073b	2	IMP-DL-0EB9CBD958-S018;IMP-M2-F4C85D52DC-S018	Downloads/theory-of-geometry.tex;MATH-ALLS-2/theory-of-geometry.tex	a10fe88152a48ea2000933750bb85da1288b86cc7b133b167b4a98481eee6575	a10fe88152a48ea2000933750bb85da1288b86cc7b133b167b4a98481eee6575	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	a10fe88152a48ea2000933750bb85da1288b86cc7b133b167b4a98481eee6575	IMP-M2-F4C85D52DC-P083
SOLSEM-B6D02632948B	056de5f9efc26d0996f1424ab24f0ad26d525797e3acf8389471e529ddba6b95	1	IMP-DL-1608308E70-S001	Downloads/theory-of-algebraic-topology-14.tex	5e0fee9d7fa9a9ce0b421c3c3304c160aab6247ae959cf3e923e14346f4ee960	5e0fee9d7fa9a9ce0b421c3c3304c160aab6247ae959cf3e923e14346f4ee960	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	5e0fee9d7fa9a9ce0b421c3c3304c160aab6247ae959cf3e923e14346f4ee960	IMP-DL-1608308E70-P001
SOLSEM-DB403356B159	064b982ce8cb85c08938e57782cbd13d591e58530aa6a953625535f3f16872aa	1	IMP-DL-0A9B1F0A75-S009	Downloads/theory-of-algebraic-geometry-9.tex	e464845a55a565c94a6a2017e6d21a3397debdeab23a94a8237da628725bba60	e464845a55a565c94a6a2017e6d21a3397debdeab23a94a8237da628725bba60	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	e464845a55a565c94a6a2017e6d21a3397debdeab23a94a8237da628725bba60	IMP-DL-0A9B1F0A75-P004
SOLSEM-F9F723134526	06c37088d4571b68ded0e133cd3f5041bbd0ce7ec894de2245ac1f2692d50bb6	2	IMP-DL-9DE2876887-S002;IMP-M2-11069D160E-S002	Downloads/theory-of-complex-analysis-series.tex;MATH-ALLS-2/theory-of-complex-analysis-series.tex		04a4d2eba6b2b75dab5c0fa6cc2e09c9d098f633a4a304ee064b1c0a47cf5dc1;354666cb524e0a5823f11c10cbba19777b812bb271932fb6780878fc52912ae9;3c9ab00fb8f78e0de30298bd2cc1fd09347fc8aa2a07cbc2cc780df729b0bdfd;427d190f62b54c2084d3532e76b1572719b054499dd74fd6e530ebdb1edf84f1;5f04190e3a490ae49c0c0d745ace64a547a5de815bb4d871709f3b854653e840;c299ef573bb1ccf008ce31d8de8bd7d34a11260363e18d21063692c99ead7ffc;f735538b4e73bf85330bfd8ac2b7cbe34fb6848783bbcdb2a677fc9fe5fd48f7;fc0bfe92782ea1b6fac146da03a73a7b7c64ac29ba11851806821704534bf47d	UNRESOLVED		
SOLSEM-660583BCCA11	07433c7e75a2889a80376358fa2ddd20788295e1e7dcd26661f8f597fba7c7e0	2	IMP-DL-117191C0EC-S030;IMP-M2-40A546CAA2-S030	Downloads/theory-of-analysis-topics.tex;MATH-ALLS-2/theory-of-analysis-topics.tex	4d2e53ecd9569c4fd6b9bae9793c12bb79225ab746b20d43f31898d32c27d3b6	4d2e53ecd9569c4fd6b9bae9793c12bb79225ab746b20d43f31898d32c27d3b6	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	4d2e53ecd9569c4fd6b9bae9793c12bb79225ab746b20d43f31898d32c27d3b6	IMP-M2-40A546CAA2-P061
SOLSEM-6F73DEEDDB60	07a833a891239286bb40f43c792d559c5e4d8c77b86b04aa37bed52e27b5a753	2	IMP-DL-3E276561C4-S009;IMP-M3-AB2FCA292B-S009	Downloads/theory-of-linear-algebra-1.tex;MATH_ALLS-3/theory-of-linear-algebra-1.tex	52e2d5ccf36533c2c8d9a93391189f0cb433715782c10784d2d9946241ad4959	52e2d5ccf36533c2c8d9a93391189f0cb433715782c10784d2d9946241ad4959	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	52e2d5ccf36533c2c8d9a93391189f0cb433715782c10784d2d9946241ad4959	IMP-M3-AB2FCA292B-P001
SOLSEM-C8093323C4B4	0802025f24773f1f819abd675ea50035b392a54376d12784b65eb75175b6830a	6	IMP-DL-183AD43C4C-S014;IMP-DL-20E278E436-S014;IMP-DL-AE41E61130-S004;IMP-M2-1895C43FC6-S014;IMP-M2-22F064D6B8-S004;IMP-M2-50B0B212DD-S014	Downloads/exercise_4_solutions (1).tex;Downloads/merged_exercises_FULL_v2 (1).tex;Downloads/theory-of-real-analysis.tex;MATH-ALLS-2/exercise_4_solutions (1).tex;MATH-ALLS-2/merged_exercises_FULL_v2 (1).tex;MATH-ALLS-2/theory-of-real-analysis.tex	50f0f53fe2172b81ca447c0ae76509251a04ea564c5a18470f741916d3c7ae04	0a3b7c3ca7bdf147d1eb12600a5be5de7555357ec9ccfa2083536e8971b34bad;50f0f53fe2172b81ca447c0ae76509251a04ea564c5a18470f741916d3c7ae04;be1e03c64bf9a16b34514d6471c5034b2c5b7017fc2353385b3d5b26a56a5874	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	50f0f53fe2172b81ca447c0ae76509251a04ea564c5a18470f741916d3c7ae04	IMP-M2-1895C43FC6-P023
SOLSEM-0CB3FC2F8AD1	081da277a3f880733782aeb112237e31a5e734a5aabce4fc325f19deb9b39f53	3	IMP-DL-BD3A6D53D0-S018;IMP-M2-E2BE0561BD-S018;IMP-M3-0F6B7A59EB-S018	Downloads/theory-of-differential-geometry-2.tex;MATH-ALLS-2/theory-of-differential-geometry-2.tex;MATH_ALLS-3/theory-of-differential-geometry-2.tex	9ed592dc5182e910efe4ce8c499be5ce7a6fc1313b5af2ef953249b383c36b49	9ed592dc5182e910efe4ce8c499be5ce7a6fc1313b5af2ef953249b383c36b49	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	9ed592dc5182e910efe4ce8c499be5ce7a6fc1313b5af2ef953249b383c36b49	IMP-M3-0F6B7A59EB-P018
SOLSEM-F10D608B3872	0905ee3adbc0ea4d09dd674d3ba5cfd3d7a555d5bb898c11443b872d6911418b	2	IMP-DL-D148B51FB7-S032;IMP-M3-5A5277EBFB-S032	Downloads/theory-of-differential-geometry-4.tex;MATH_ALLS-3/theory-of-differential-geometry-4.tex	cd0807481044a71fa25fba9e48bbfb444de3acc388f23618911615b615890312	cd0807481044a71fa25fba9e48bbfb444de3acc388f23618911615b615890312	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	cd0807481044a71fa25fba9e48bbfb444de3acc388f23618911615b615890312	IMP-M3-5A5277EBFB-P038
SOLSEM-F00820DC928D	0931ee91e9139ce0367cccde5f5dc61b18e598c5587c59c047505cb549c00cd2	6	IMP-DL-183AD43C4C-S009;IMP-DL-20E278E436-S009;IMP-DL-9EC07956DD-S001;IMP-M2-1895C43FC6-S009;IMP-M2-50B0B212DD-S009;IMP-M2-844641160C-S001	Downloads/ex38g_ex39.tex;Downloads/merged_exercises_FULL_v2 (1).tex;Downloads/theory-of-real-analysis.tex;MATH-ALLS-2/ex38g_ex39.tex;MATH-ALLS-2/merged_exercises_FULL_v2 (1).tex;MATH-ALLS-2/theory-of-real-analysis.tex	6ba69b0b2a5770c68f6767bc3beb87f937e8d520c620f3f8a87fd07ec325e137	6ba69b0b2a5770c68f6767bc3beb87f937e8d520c620f3f8a87fd07ec325e137	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	6ba69b0b2a5770c68f6767bc3beb87f937e8d520c620f3f8a87fd07ec325e137	IMP-M2-1895C43FC6-P022
SOLSEM-883B83EABA51	09342617c5aab1c36a965bc291287af3b73fb3a270b5d5924c547644a9dd7e4c	2	IMP-DL-F77C60E8D1-S003;IMP-M2-09C070ED26-S003	Downloads/theory-of-complex-analysis-next2.tex;MATH-ALLS-2/theory-of-complex-analysis-next2.tex	129c112776d7ca6637e16def9ff9d5b73f253352a07008f8f3aad3acf7ebade8	129c112776d7ca6637e16def9ff9d5b73f253352a07008f8f3aad3acf7ebade8	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	129c112776d7ca6637e16def9ff9d5b73f253352a07008f8f3aad3acf7ebade8	IMP-M2-09C070ED26-P003
SOLSEM-034EB888A9B2	095296689cfa1afda3b12c7641dfec2419015b1c39965e7ae86ae154aff57305	2	IMP-DL-E532B44856-S001;IMP-M2-C037D998D4-S001	Downloads/theory-of-analysis-functions-II.tex;MATH-ALLS-2/theory-of-analysis-functions-II.tex	74e791d6168bedbe6124f260f8ac3865164a3fe677445e825728f857c399f80a	74e791d6168bedbe6124f260f8ac3865164a3fe677445e825728f857c399f80a	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	74e791d6168bedbe6124f260f8ac3865164a3fe677445e825728f857c399f80a	IMP-M2-C037D998D4-P012
SOLSEM-8F382E4ED35D	096b3132e82e60cdf0f20d199bdfc59240f5d06608c9db659294c41e5c57b2c1	3	IMP-DL-BD3A6D53D0-S007;IMP-M2-E2BE0561BD-S007;IMP-M3-0F6B7A59EB-S007	Downloads/theory-of-differential-geometry-2.tex;MATH-ALLS-2/theory-of-differential-geometry-2.tex;MATH_ALLS-3/theory-of-differential-geometry-2.tex	e28494f8f9d069d36d0b0ea9b23c90af7e8cf27b336f07eebf3bc0ef3d1dc902	e28494f8f9d069d36d0b0ea9b23c90af7e8cf27b336f07eebf3bc0ef3d1dc902	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	e28494f8f9d069d36d0b0ea9b23c90af7e8cf27b336f07eebf3bc0ef3d1dc902	IMP-M3-0F6B7A59EB-P007
SOLSEM-867BC22DE8EC	09d62941cd78f7a276458c56a99ade14d6ac1ff1e195b1eab57ca3c8d1c06f78	4	IMP-DL-1068DBED71-S012;IMP-DL-CAA415139D-S012;IMP-M3-F4E66B2919-S012;IMP-M3-FCB1647DD6-S012	Downloads/theory-of-commutative-algebra-10.tex;Downloads/theory-of-commutative-algebra-9.tex;MATH_ALLS-3/theory-of-commutative-algebra-10.tex;MATH_ALLS-3/theory-of-commutative-algebra-9.tex		007200b2ccb0f313280a4d2ebdde9b4ea790a173727d57242616e3b509a3ee8c;00b03f59d1db1fe6893710085fccce79b6ea3b0868cd3119780e8a8d61a90070;6e475b9a1433d6c9b491bac9ec5bd87cc55c9a9ec3049123b7d9e11a1f109cf7;83b38370cab2968c0705a15a59c03bd6c5419df4f9bc0b7d714c13d4cea328c8;af2e2416b1f174f1c3644ca70fb8eb5d9f5082976c6431eae1c9535f49e26e66;b5329f8c59d5e3a22f134977c47493937d5230b5e6106a7109d2b5424078ba66;e99e76670b92d486b635cb6f2f6e651b9af7fdf1d27a923ba980ad4797ba658d	UNRESOLVED		
SOLSEM-1268F275EA64	0a104f8d42ebd80d64ebc13c7fe8249a35c82288dbf7e1b99034ff5a0b7154cd	2	IMP-DL-2370D81D66-S006;IMP-M2-D036BAB254-S006	Downloads/theory-of-analysis-FD.tex;MATH-ALLS-2/theory-of-analysis-FD.tex	fe3f6396f242535ff1c23c43de937e04578835e88e25d4e6d69ccf8b78c2ec86	fe3f6396f242535ff1c23c43de937e04578835e88e25d4e6d69ccf8b78c2ec86	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	fe3f6396f242535ff1c23c43de937e04578835e88e25d4e6d69ccf8b78c2ec86	IMP-M2-D036BAB254-P013
SOLSEM-E46F2BC39797	0af173f0f9b6cf323dea9ffb36867865b194dd0a6ec52b3fd2d9b4e4cafba685	2	IMP-DL-E1F1BB4192-S016;IMP-M3-0D398C7F27-S016	Downloads/theory-of-commutative-algebra-5.tex;MATH_ALLS-3/theory-of-commutative-algebra-5.tex	9a2bf2c983f4ab3d8d9db2e5a95d1d73bb2073e71e7db8c9e80283e3285e7677	9a2bf2c983f4ab3d8d9db2e5a95d1d73bb2073e71e7db8c9e80283e3285e7677	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	9a2bf2c983f4ab3d8d9db2e5a95d1d73bb2073e71e7db8c9e80283e3285e7677	IMP-M3-0D398C7F27-P010
SOLSEM-BB1FDE3F5EA8	0affff43e69b15d8cb0e502d62155c22299641795676843498745b946da8c394	2	IMP-DL-CB3C80FF97-S008;IMP-M2-7B5A4788C1-S008	Downloads/theory-of-complex-analysis-topology.tex;MATH-ALLS-2/theory-of-complex-analysis-topology.tex		07431c44db28bd1f9b0a2d5300a5d4afc3af095723cb3a79391e98e58e4f6c18;31ee84f05559b0f3d2871a6dda04bb15cb17ac537f32d3c3018fbaa885d18ea4;3419ccce9e35e554f5a62aa1a58c12c4d318e946bab912c8febaca203befd431;342cde71220e8928ead53042a1b221cfcf6617f72bf5ef8a75b3085ef1a9e64b;449740892cd22477295b6e78e817ebd81add9fffb011e62efb975871c36825b8;75768a3fe667d4c594d3328893f0e30d5df14a76d98bc6d29078ffa961b81d9f;c91992cb8eeb57cc6b36dd8307a23e64d5b11235dcc7ccbeeb852c47090d232f;e263aa6156156bbf8355ecb3d76a3c672f0bcd603d1715324ee24f0f480ccfcb	UNRESOLVED		
SOLSEM-5D88F8A4C0BB	0b2b913e2bf31ca9b8251f0a23f1758d4f2d658ff67a22d9f5ffe9b8984433a7	4	IMP-DL-3C59D9EE8B-S012;IMP-DL-E1F1BB4192-S012;IMP-M3-0D398C7F27-S012;IMP-M3-D1A916E0DD-S012	Downloads/theory-of-commutative-algebra-5-professional-v2.tex;Downloads/theory-of-commutative-algebra-5.tex;MATH_ALLS-3/theory-of-commutative-algebra-5-professional-v2.tex;MATH_ALLS-3/theory-of-commutative-algebra-5.tex	e99e76670b92d486b635cb6f2f6e651b9af7fdf1d27a923ba980ad4797ba658d	e99e76670b92d486b635cb6f2f6e651b9af7fdf1d27a923ba980ad4797ba658d	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	e99e76670b92d486b635cb6f2f6e651b9af7fdf1d27a923ba980ad4797ba658d	IMP-M3-0D398C7F27-P007
SOLSEM-A8B10262AB0D	0c41c78a48fe06a9eda9b58d3fa1801053c14f32aa8a8c5a4bba6a376bec70d1	1	IMP-DL-A5CEE6E541-S002	Downloads/theory-of-algebraic-geometry-8.tex	1bf3f1c65a5cf7247e3553689519b7279eaea68c3eec417aa519842b8ed9d629	1bf3f1c65a5cf7247e3553689519b7279eaea68c3eec417aa519842b8ed9d629	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	1bf3f1c65a5cf7247e3553689519b7279eaea68c3eec417aa519842b8ed9d629	IMP-DL-A5CEE6E541-P003
SOLSEM-F5D699C98C6C	0cb101ecacb00ac461cda36ed2d7453ff549f770b2bc3255923bf3e827bf7dcd	2	IMP-DL-D148B51FB7-S008;IMP-M3-5A5277EBFB-S008	Downloads/theory-of-differential-geometry-4.tex;MATH_ALLS-3/theory-of-differential-geometry-4.tex	1af0858e0feb42fc48529fe598bb5eb8c9b4d712da9f2d06b5d08b6c72fc7aa6	1af0858e0feb42fc48529fe598bb5eb8c9b4d712da9f2d06b5d08b6c72fc7aa6	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	1af0858e0feb42fc48529fe598bb5eb8c9b4d712da9f2d06b5d08b6c72fc7aa6	IMP-M3-5A5277EBFB-P017
SOLSEM-7BBCF0E6AAEA	0cb4af92d6494fc14c90835e38a140658b453344a3ad2c6dc690d7442a2768f0	1	IMP-DL-A978FB3162-S007	Downloads/theory-of-algebraic-topology-4.tex	5ccc73b0b4302a063251783c7fd171e6051c4e859a12dd1edf6568278672f4f5	5ccc73b0b4302a063251783c7fd171e6051c4e859a12dd1edf6568278672f4f5	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	5ccc73b0b4302a063251783c7fd171e6051c4e859a12dd1edf6568278672f4f5	IMP-DL-A978FB3162-P023
SOLSEM-7289CDF2AD18	0e2ec9a72e3fa9338954b90b00e2f7cc012f339311f250ee68ceba23ca73d61a	2	IMP-DL-CB3C80FF97-S006;IMP-M2-7B5A4788C1-S006	Downloads/theory-of-complex-analysis-topology.tex;MATH-ALLS-2/theory-of-complex-analysis-topology.tex		07431c44db28bd1f9b0a2d5300a5d4afc3af095723cb3a79391e98e58e4f6c18;0d8b237e846ac2ea0ff002054e40c1012cf9e712d1cce112f59652ddf81e3f79;1943f7f33d26ceba2620e28cae0e7f780915bb9b55144c1fc589a683d8b1c01e;31ee84f05559b0f3d2871a6dda04bb15cb17ac537f32d3c3018fbaa885d18ea4;3419ccce9e35e554f5a62aa1a58c12c4d318e946bab912c8febaca203befd431;390719f48779f7e9167742b5bd70c6703468cd062b77b41fb03fe083a734ac9d;b8a4cb4dd5831258c95d75784b24aad49778ab66a62f9a38dd24969ee04b06b1;e263aa6156156bbf8355ecb3d76a3c672f0bcd603d1715324ee24f0f480ccfcb	UNRESOLVED		
SOLSEM-F310C1FA1496	0e4e7305edb5d1f70d58051ecdec160b7c40f23ae5583d0f2102db5a6b257be4	4	IMP-DL-1068DBED71-S010;IMP-DL-CAA415139D-S010;IMP-M3-F4E66B2919-S010;IMP-M3-FCB1647DD6-S010	Downloads/theory-of-commutative-algebra-10.tex;Downloads/theory-of-commutative-algebra-9.tex;MATH_ALLS-3/theory-of-commutative-algebra-10.tex;MATH_ALLS-3/theory-of-commutative-algebra-9.tex		4cd708ddd57a7aff12079289cbe3402afa29217b5da84df3d0a57ffe46333f9a;4eaac68d5f21ed0f03ccfe177daa0641165cf663de8751a44a1bc9f0b9b02e4e;5b274109062835a1bdf3cc827e9ecf7bb0d0d5039bf5cebc6e732df382fb1e08;95f990e2c475094e91914c8b1165b623ae873e09bdd2f783b395b2d110145896;d4461a0d92e700decf9eef941930fb12b29df2b813a2fc5abe8564eaf3f87ac7;d8f257358a55280416bf43123a06cef3c1a10fa7aa2ce0329082be6128db2c18;dac4fecc8c3fb39c9e145ccd43ab83b6e3106f25839ff81e56d2f00b9d801578;ef19b1dbf705046fbc8df6432eca5e607529ee174ea36bf4c21f6355ca3fde77	UNRESOLVED		
SOLSEM-FB10D1AD0D7F	0e6a9ecdc5554272af2c03cfdbeb5c84c593ec0e0c84141fb203a85b3af7596d	1	IMP-DL-0A9B1F0A75-S003	Downloads/theory-of-algebraic-geometry-9.tex	5054d35ac8e9c0eb255fad0029ca5a2d73d07f6b903cba9ef78d8e19dd85ac83	5054d35ac8e9c0eb255fad0029ca5a2d73d07f6b903cba9ef78d8e19dd85ac83	RESOLVED_BY_SOLUTION_TEXT_DUPLICATE	5054d35ac8e9c0eb255fad0029ca5a2d73d07f6b903cba9ef78d8e19dd85ac83	IMP-DL-0A9B1F0A75-P001
