orphan_semantic_unit_id	member_count	candidate_count	top_candidate_problem_id	top_score	second_score	margin	safe_auto_link_candidate	recommended_action
SOLSEM-DE60695D66E5	4	16	IMP-DL-1068DBED71-P053	0.4565	0.4565	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-DFADE3F604D1	2	16	IMP-DL-98972A6B93-P011	0.5350	0.5350	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-E1C7298294B9	6	44	IMP-DL-15679DEE8D-P007	0.4333	0.4333	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-E2F0EC0A8FB7	2	16	IMP-DL-E1F1BB4192-P008	0.4074	0.4074	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-EAF3CE18ED2B	2	10	IMP-DL-7A55205E2C-P002	0.2737	0.2737	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-EBCCAEB05555	1	8	IMP-DL-721195CCB5-P011	0.1894	0.1370	0.0524	NO	EDITORIAL_REVIEW
SOLSEM-F0C1695725CA	4	5	IMP-DL-183AD43C4C-P023	0.3954	0.3954	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-F23AA3472752	4	16	IMP-DL-1068DBED71-P002	0.3563	0.3563	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-F310C1FA1496	4	30	IMP-DL-1068DBED71-P059	0.3523	0.3523	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-F972DAAC2A87	4	24	IMP-DL-1068DBED71-P017	0.3112	0.3112	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-F9F723134526	2	16	IMP-DL-9DE2876887-P002	0.3629	0.3629	0.0000	NO	EDITORIAL_REVIEW
SOLSEM-FFAE6708F349	2	16	IMP-DL-CB3C80FF97-P003	0.5099	0.5099	0.0000	NO	EDITORIAL_REVIEW
