volume	asset	sha256	classification	canonical_target	evidence	action
VI	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_bridge.tex	f24790edb0a50a91cd4812ce34413886684ccdf3fe20ce36c5ab7720f7d68a6d	USED	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_bridge.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_containment.tex	abda0de308908705513f684a34619f7fc5c1fe1da05092b843bbc03f18d902d7	USED	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_containment.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_crossing_axes.tex	47531c713c78fa3a83a560787781b7ebc845e9574940e9c2dc1b36f73e37e10e	USED	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_crossing_axes.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_field_dependence.tex	7bd2d76e39af403a0d0705d1a9807c9a1d6c1f6075c44b18b22edc37193478da	USED	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_field_dependence.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/README.md	db61d243ec91aabf9e41b34bc6c82369d632d5a191f2deaaa776a9a57e450591	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_closed_set_pipeline.tex	cc480e017eca43a21c79b265a2b25238ca6f12e7270c3491c93bffe63117e97e	USED	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_closed_set_pipeline.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_contravariance.tex	cc8bdf8e35b2cfe73736810c454a89c9c47fc55d8055fa899f830d4577399516	USED	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_contravariance.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_crossing_axes.tex	f45f723e3e18a8f795e0a37ef544cd4f24dea32a9f473fdfce1d0949f2760986	USED	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_crossing_axes.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_inclusion_reversal.tex	b374a7cd0b37833e9850bc5c734e91c999f96ec36cf6ffbef94a88458222b230	USED	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_inclusion_reversal.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_quotient_closed_subspace.tex	26638b7bae595c1c19ed94b6f54fbd1361b51811b49e5e8d0e0b1225d0cb2bb6	USED	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_quotient_closed_subspace.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_spec_z.tex	1f0f6ae876a63e731282dbe7d0e0f5f71ed997f9dacb9bbc941f85d7ac3f0b72	USED	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_spec_z.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_specialization_chain.tex	69a64fe2235ee93b746465b0a2e826cedb27ce431c4ce87cc09eb1b0d81c576f	USED	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/figures/vi07_specialization_chain.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/README.md	ef9cad9be8e0282dc4dc0535de506872872ca19d12a2f609c6fec12f15fe2db2	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_complement.tex	c21ff651ea1456c4aca46e843aaea6d769e773f6f51beebee976bf8e9cf14131	USED	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_complement.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_cover_criterion.tex	b4e6dfd88c01c537846c4a72e97df2d58a7b6c6c5e984e17f6ea1f53d8c9c9b1	USED	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_cover_criterion.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_crossing_axes.tex	cef9a280fa991494e5eb778c7f377aaf0405b8665c5d8d22bce8bc620cde306c	USED	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_crossing_axes.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_intersection.tex	23e213620fd21f8b9a21a5866377f457e023cb9ef204cbb9fa35ee37f498ca22	USED	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_intersection.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_localization_correspondence.tex	3e2bbcd3f28bfe3c664da2542de69da9d79c8c539a30b68259e6b30389366034	USED	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_localization_correspondence.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_quotient_intersection.tex	e664d3b11544147f6619d4a12649c53d33a6fce2befe857d384df81227d84018	USED	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_quotient_intersection.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_radical_criterion.tex	d38b3417ec3daf82d113297051b2fb4b08477dd847b3c288ad0109628c869057	USED	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_radical_criterion.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_spec_z.tex	feebd2896ce1c26b75f37094edc5ff3e361a189f9bbecdc707758c6c48882a28	USED	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/figures/vi08_spec_z.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/README.md	70948bff1ea66403512b1bc3b31408cf8837043269911e7f2434e2d7650fa191	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_closed_point_fields.tex	604cc007b0f91ab3ee6378936bd105c7c9242ad3096d0774fc7e57cba7e59c0a	USED	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_closed_point_fields.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_closure_dictionary.tex	8ae0f780aa0a545419fefbc21f0120534fd070f76b4a3b798d8eb535aec672b4	USED	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_closure_dictionary.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_component_generic.tex	3be8db30b4bd52a821d0dd1378381a5599369afcb54b2b7f4f2a549b4befc148	USED	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_component_generic.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_crossing_axes.tex	9016e530e44eaad21863b6009e4b520f8b72c0fdefdcd6c692324edc6c74315e	USED	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_crossing_axes.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_nonreduced_generic.tex	8ff7e40cfcf7244fa07f54000190ab27e18f406060fe70412f60115197c6701a	USED	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_nonreduced_generic.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_order_stability.tex	51f2f4e597d6e4993242b35e673886334453fd450f209ac935c054ca6287c8d9	USED	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_order_stability.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_prime_generic_dictionary.tex	d219eb862eebafbb7b9754b0336c5a8bcee10f4d6fbca350853cee9938645a01	USED	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_prime_generic_dictionary.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_spec_z.tex	735b8346503cfe13420074677233e62a26164ae52a4817ae86776897ca21032d	USED	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_spec_z.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_specialization_chain.tex	53da46512a951c7970c7e0227c288ac3e3a8c7f130d8d22eab97f18d4edf2963	USED	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/figures/vi09_specialization_chain.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/README.md	eeb7d80bc7163e2d4fff89d7dff8bbafe0c8dc7a30153c6442adaaa0530a8457	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_base_change_failure.tex	a6b96126fd315d9f67acab48b5ad7b633acb12c3781d9c3a326406a3b5200769	USED	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_base_change_failure.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_double_line.tex	fac95dda6267bd71e22c91bfa0878ad02469b681a7de4323a4db3060e1f37528	USED	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_double_line.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_doubled_point.tex	a3f400fd9f40cd9c81ac57731647626d21e89dffdd6932a459c0b048785412e2	USED	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_doubled_point.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_infinitesimal_maps.tex	6d2ec0c147de00cc32f8fea0ec8dad5301174b5d1b7a9d36a0267e023b8cb2ca	USED	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_infinitesimal_maps.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_local_criterion.tex	40c7d2d2c860843edce91bfd5f758c7b5eec7b734b52198b705d9b2055661815	USED	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_local_criterion.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_localization_square.tex	3ec478bbd5d41389765c608966a2ef8b265053e8bf9faf1da09164eb98fc4ba5	USED	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_localization_square.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_property_dictionary.tex	e3dccd8b43f05641f180edbc47472cb164892ea89dbd70411377a39ea547f658	USED	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_property_dictionary.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_radical_quotient.tex	11163d9dded7b60b7e4f73cf47c5ba4b1576354f72b52951a6a542029ac47ad5	USED	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_radical_quotient.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_reduction_map.tex	3fae953e886b4db5bc95dbd49b684e4cf8b2020fa6501b0c1085c3cef902ad94	USED	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/figures/vi10_reduction_map.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/README.md	59f46f6468cea9507d33ca4d4bcb1e8651d54e50c9ffc79ffb3937e6f9b0e6e2	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_crossing_local.tex	42a14dbd87698147b9c727a67908f829a99e901395ed444df36fa539e0c34ed8	USED	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_crossing_local.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_global_local_residue.tex	13e8135e7208a1757da6d75010252d6e30d45f4a68b2980289d882ad32c9f8e4	USED	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_global_local_residue.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_local_map.tex	723566983b599f8394247aa17dec2b53b818a92ecd11d3f5950c702dd0550473	USED	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_local_map.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_local_spectrum.tex	8e7d4fab7f176a25b8ba0af761f4dfc99460ac1605995784cf4a5292a5ab5825	USED	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_local_spectrum.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_point_types.tex	141aaacbf2b3a5d74d904d8184a46ef7c0d1613f5dc98d784ba90f60ff2d9614	USED	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_point_types.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_quotient_localization.tex	f77775cf36612262d4a434a7a614aac168ece93214e3c2e129cb47009c41965c	USED	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_quotient_localization.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_residue_formula.tex	873febeefe618991cdda76668addcc46573f1376701ead6dc707035bf8dfa3a9	USED	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_residue_formula.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_shrink_invariance.tex	94f09b9768f2324f964ef76a6e37223757eb4aca420f20d7b762b176a772a256	USED	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_shrink_invariance.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_units_nonunits.tex	2b371f13f6576245a191c83ef5131dbfa6b9a6c6f6aa5ead263d40af8afc0f6a	USED	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/figures/vi11_units_nonunits.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/README.md	4c362c5dcfb237c5a701f30ce36ff77980519267c1d3893cbc7e17ce2d1fe4c1	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_affine_basis.tex	ac8046e7d500d45a51358353eea2fea878eae3c2c4f99d8b42acbfc87e5a7580	USED	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_affine_basis.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_bounded_failure.tex	771c9b53c188e3a4fced52734453d7fee7ccb9cae15d16ce8d9ec0fe6fa4a7ef	USED	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_bounded_failure.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_composition.tex	7c53dace2b4050d012472425c3f950cee112fe8854e469334f819f0ebf5efd9e	USED	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_composition.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_constant_failure.tex	9e598b3c960a53b74856a4d01fd16a971455386836df80ceaf0ee3dc730ee13b	USED	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_constant_failure.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_contravariance.tex	63279de477626720afd969085e789aca69f7ecbde16fe895f471e211335c8542	USED	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_contravariance.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_direct_image.tex	2edbf890808521a77b37f9738c0f0aaca8600647f0050e79dc038dd542298a5a	USED	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_direct_image.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_naturality.tex	c8a8d9dcacf19e180967d2ed5da943da87344daf38e9effc856d4327ce6fc57d	USED	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_naturality.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_presheaf_vs_sheaf.tex	ded60ec761f5678dcfde432b467d99b0d2f1bb136333b9d3f7a1d702d42dd373	USED	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_presheaf_vs_sheaf.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_sierpinski.tex	ecb98bb58614712d6e2afb8b6c9c997836a31172306e0abf540a3440445e5008	USED	books/vol06_algebraic_geometry/chapters/ch12_presheaves/figures/vi12_sierpinski.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/README.md	292f3a52c02b3f97898b73eeb2bb210e2a28c54ecf224a5709198a6d263fec28	OUT_OF_SCOPE		figure-directory metadata/documentation; not a mathematical render asset	retain metadata only
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_basis_test.tex	fdd4bbc8a68645deba135c33cadc357b03ab14142563a70c7a80ab41a06d8631	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_basis_test.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_constant_components.tex	58c2d98759645a0e83fbd493bcab083bb96c8915b7f1fd2ee6ccd7a876f18397	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_constant_components.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_discrete_product.tex	3f9e71a3732bb239dbc2f27c34ef755f9c150037f71b7722ab1acc160675d560	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_discrete_product.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_equalizer.tex	d2ef484661684ffe3dc4a1af0cb1fc4d8e47b2810b59df41a47dc12463c8d7a2	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_equalizer.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_germ_equivalence.tex	48531ec477e332c6b56e5ca8c5327e8ba5807067f63c6b0f9eae6f236ce5c6a0	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_germ_equivalence.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_gluing.tex	49debc6ffdc2a54abb50f30dcefd8cf8fc97ca8c3160605b4710217d4b8ac58d	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_gluing.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_skyscraper.tex	b78f850cb703448787fde2893d3223653cbf71804f7b54463b393e32408cd6af	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_skyscraper.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_stalk_colimit.tex	8d1d311cd11aa7c1a324a89526d17acb4ee3081137bf1dbab754c571422702bd	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_stalk_colimit.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_stalk_map.tex	2d956445279ec114721077141ec35297c55ab0972c7939657d9c9ef65e9e7b1d	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_stalk_map.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_support.tex	0002c5265c4d644060c62b42f21d6eb6aad232a3f20156e4ca6f1f69f14f4cc5	USED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/figures/vi13_support.tex	reachable from the canonical volume TeX dependency graph	retain
VI	books/vol06_algebraic_geometry/chapters/ch14_sheafification/figures/vi14_add_identify.tex	dca30332a05d1a10adcb4fe156b2efce5f213c3453cc03b4e2341564ab786ad8	USED	books/vol06_algebraic_geometry/chapters/ch14_sheafification/figures/vi14_add_identify.tex	reachable from the canonical volume TeX dependency graph	retain
