file	engine	status	exit_code	timed_out	pdf_path	error	elapsed_seconds
Downloads_theory-of-commutative-algebra-5-professional.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-5-professional\Downloads_theory-of-commutative-algebra-5-professional.pdf		5
Downloads_theory-of-commutative-algebra-5-professional-v2.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-5-professional-v2\Downloads_theory-of-commutative-algebra-5-professional-v2.pdf		4
Downloads_theory-of-commutative-algebra-6.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-6\Downloads_theory-of-commutative-algebra-6.pdf		5
Downloads_theory-of-commutative-algebra-7.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-7\Downloads_theory-of-commutative-algebra-7.pdf		6
Downloads_theory-of-commutative-algebra-7_-_Copy.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-7_-_Copy\Downloads_theory-of-commutative-algebra-7_-_Copy.pdf		3
Downloads_theory-of-commutative-algebra-8.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-8\Downloads_theory-of-commutative-algebra-8.pdf		6
Downloads_theory-of-commutative-algebra-9.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-commutative-algebra-9\Downloads_theory-of-commutative-algebra-9.pdf		6
Downloads_theory-of-complex-analysis.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis\Downloads_theory-of-complex-analysis.pdf		8
Downloads_theory-of-complex-analysis-2.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-2\Downloads_theory-of-complex-analysis-2.pdf		4
Downloads_theory-of-complex-analysis-all.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-all\Downloads_theory-of-complex-analysis-all.pdf		2
Downloads_theory-of-complex-analysis-all-maps.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-all-maps\Downloads_theory-of-complex-analysis-all-maps.pdf		2
Downloads_theory-of-complex-analysis-all-maps-all.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-all-maps-all\Downloads_theory-of-complex-analysis-all-maps-all.pdf		3
Downloads_theory-of-complex-analysis-all-maps-all2.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-all-maps-all2\Downloads_theory-of-complex-analysis-all-maps-all2.pdf		4
Downloads_theory-of-complex-analysis-gamma.tex	pdflatex	fail	12	False		Downloads_theory-of-complex-analysis-gamma.tex:1735: Undefined control sequence	2
Downloads_theory-of-complex-analysis-maps.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-maps\Downloads_theory-of-complex-analysis-maps.pdf		9
Downloads_theory-of-complex-analysis-next.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-next\Downloads_theory-of-complex-analysis-next.pdf		6
Downloads_theory-of-complex-analysis-next2.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-next2\Downloads_theory-of-complex-analysis-next2.pdf		4
Downloads_theory-of-complex-analysis-series.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-series\Downloads_theory-of-complex-analysis-series.pdf		2
Downloads_theory-of-complex-analysis-topology.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-complex-analysis-topology\Downloads_theory-of-complex-analysis-topology.pdf		4
Downloads_theory-of-differential-geometry-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-differential-geometry-1\Downloads_theory-of-differential-geometry-1.pdf		30
Downloads_theory-of-differential-geometry-2.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-differential-geometry-2\Downloads_theory-of-differential-geometry-2.pdf		6
Downloads_theory-of-differential-geometry-3.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-differential-geometry-3\Downloads_theory-of-differential-geometry-3.pdf		4
Downloads_theory-of-differential-geometry-4.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-differential-geometry-4\Downloads_theory-of-differential-geometry-4.pdf		5
Downloads_theory-of-differential-geometry-5.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-differential-geometry-5\Downloads_theory-of-differential-geometry-5.pdf		4
Downloads_theory-of-differential-geometry-6.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-differential-geometry-6\Downloads_theory-of-differential-geometry-6.pdf		4
Downloads_theory-of-differential-geometry-MATH3D.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-differential-geometry-MATH3D\Downloads_theory-of-differential-geometry-MATH3D.pdf		4
Downloads_theory-of-differential-geometry-topics.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-differential-geometry-topics\Downloads_theory-of-differential-geometry-topics.pdf		3
Downloads_theory-of-disitrbutions.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-disitrbutions\Downloads_theory-of-disitrbutions.pdf		5
Downloads_theory-of-geometry.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-geometry\Downloads_theory-of-geometry.pdf		5
Downloads_theory-of-geometry-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-geometry-1\Downloads_theory-of-geometry-1.pdf		18
Downloads_theory-of-geometry-2.tex	pdflatex	fail	12	False		Downloads_theory-of-geometry-2.tex:2547: LaTeX Error: Command \k unavailable in	4
Downloads_theory-of-geometry-3.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-geometry-3\Downloads_theory-of-geometry-3.pdf		8
Downloads_theory-of-geometry-4.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-geometry-4\Downloads_theory-of-geometry-4.pdf		10
Downloads_theory-of-geometry-II.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-geometry-II\Downloads_theory-of-geometry-II.pdf		11
Downloads_theory-of-geometry-III.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-geometry-III\Downloads_theory-of-geometry-III.pdf		5
Downloads_theory-of-geometry-IV.tex	pdflatex	fail	12	False		Downloads_theory-of-geometry-IV.tex:2170: Improper \spacefactor.	2
Downloads_theory-of-linear-algebra-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-linear-algebra-1\Downloads_theory-of-linear-algebra-1.pdf		6
Downloads_theory-of-linear-algebra-2.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-linear-algebra-2\Downloads_theory-of-linear-algebra-2.pdf		6
Downloads_theory-of-real-analysis.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_theory-of-real-analysis\Downloads_theory-of-real-analysis.pdf		73
Downloads_vector_bundle_diagrams_standalone.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_vector_bundle_diagrams_standalone\Downloads_vector_bundle_diagrams_standalone.pdf		2
Downloads_wiki-green.tex	pdflatex	success	0	False	build\compile-audit\standalone\Downloads_wiki-green\Downloads_wiki-green.pdf		6
MATH_ALLS-3_chinese.tex	xelatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_chinese\MATH_ALLS-3_chinese.pdf		2
MATH_ALLS-3_commalg6_report_structure_template.tex	xelatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_commalg6_report_structure_template\MATH_ALLS-3_commalg6_report_structure_template.pdf		5
MATH_ALLS-3_commalg6_report_structure_template_1_.tex	xelatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_commalg6_report_structure_template_1_\MATH_ALLS-3_commalg6_report_structure_template_1_.pdf		4
MATH_ALLS-3_diagrams_01-13_tikz.tex	pdflatex	fail	12	False		MATH_ALLS-3_diagrams_01-13_tikz.tex:96: Package pgfkeys Error: I do not know th	1
MATH_ALLS-3_dns.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_dns\MATH_ALLS-3_dns.pdf		2
MATH_ALLS-3_marie_curie_school_latex_package_marie_curie_school_simple.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_marie_curie_school_latex_package_marie_curie_school_simple\MATH_ALLS-3_marie_curie_school_latex_package_marie_curie_school_simple.pdf		19
MATH_ALLS-3_marie_curie_school_styled_package_marie_curie_school_styled.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_marie_curie_school_styled_package_marie_curie_school_styled\MATH_ALLS-3_marie_curie_school_styled_package_marie_curie_school_styled.pdf		4
MATH_ALLS-3_theory-of-algebraic-topology-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-algebraic-topology-1\MATH_ALLS-3_theory-of-algebraic-topology-1.pdf		5
MATH_ALLS-3_theory-of-algebraic-topology-2.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-algebraic-topology-2\MATH_ALLS-3_theory-of-algebraic-topology-2.pdf		4
MATH_ALLS-3_theory-of-commutative-algebra-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-1\MATH_ALLS-3_theory-of-commutative-algebra-1.pdf		5
MATH_ALLS-3_theory-of-commutative-algebra-10.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-10\MATH_ALLS-3_theory-of-commutative-algebra-10.pdf		6
MATH_ALLS-3_theory-of-commutative-algebra-11.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-11\MATH_ALLS-3_theory-of-commutative-algebra-11.pdf		5
MATH_ALLS-3_theory-of-commutative-algebra-12.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-12\MATH_ALLS-3_theory-of-commutative-algebra-12.pdf		5
MATH_ALLS-3_theory-of-commutative-algebra-13.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-13\MATH_ALLS-3_theory-of-commutative-algebra-13.pdf		5
MATH_ALLS-3_theory-of-commutative-algebra-14.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-14\MATH_ALLS-3_theory-of-commutative-algebra-14.pdf		4
MATH_ALLS-3_theory-of-commutative-algebra-15.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-15\MATH_ALLS-3_theory-of-commutative-algebra-15.pdf		6
MATH_ALLS-3_theory-of-commutative-algebra-1s.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-1s\MATH_ALLS-3_theory-of-commutative-algebra-1s.pdf		4
MATH_ALLS-3_theory-of-commutative-algebra-2.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-2\MATH_ALLS-3_theory-of-commutative-algebra-2.pdf		5
MATH_ALLS-3_theory-of-commutative-algebra-3.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-3\MATH_ALLS-3_theory-of-commutative-algebra-3.pdf		5
MATH_ALLS-3_theory-of-commutative-algebra-4.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-4\MATH_ALLS-3_theory-of-commutative-algebra-4.pdf		8
MATH_ALLS-3_theory-of-commutative-algebra-5.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-5\MATH_ALLS-3_theory-of-commutative-algebra-5.pdf		5
MATH_ALLS-3_theory-of-commutative-algebra-5-professional.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-5-professional\MATH_ALLS-3_theory-of-commutative-algebra-5-professional.pdf		5
MATH_ALLS-3_theory-of-commutative-algebra-5-professional-v2.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-5-professional-v2\MATH_ALLS-3_theory-of-commutative-algebra-5-professional-v2.pdf		4
MATH_ALLS-3_theory-of-commutative-algebra-6.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-6\MATH_ALLS-3_theory-of-commutative-algebra-6.pdf		5
MATH_ALLS-3_theory-of-commutative-algebra-7.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-7\MATH_ALLS-3_theory-of-commutative-algebra-7.pdf		7
MATH_ALLS-3_theory-of-commutative-algebra-7_-_Copy.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-7_-_Copy\MATH_ALLS-3_theory-of-commutative-algebra-7_-_Copy.pdf		4
MATH_ALLS-3_theory-of-commutative-algebra-8.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-8\MATH_ALLS-3_theory-of-commutative-algebra-8.pdf		6
MATH_ALLS-3_theory-of-commutative-algebra-9.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-commutative-algebra-9\MATH_ALLS-3_theory-of-commutative-algebra-9.pdf		6
MATH_ALLS-3_theory-of-differential-geometry-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-differential-geometry-1\MATH_ALLS-3_theory-of-differential-geometry-1.pdf		42
MATH_ALLS-3_theory-of-differential-geometry-2.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-differential-geometry-2\MATH_ALLS-3_theory-of-differential-geometry-2.pdf		5
MATH_ALLS-3_theory-of-differential-geometry-3.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-differential-geometry-3\MATH_ALLS-3_theory-of-differential-geometry-3.pdf		3
MATH_ALLS-3_theory-of-differential-geometry-4.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-differential-geometry-4\MATH_ALLS-3_theory-of-differential-geometry-4.pdf		5
MATH_ALLS-3_theory-of-differential-geometry-5.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-differential-geometry-5\MATH_ALLS-3_theory-of-differential-geometry-5.pdf		4
MATH_ALLS-3_theory-of-differential-geometry-6.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-differential-geometry-6\MATH_ALLS-3_theory-of-differential-geometry-6.pdf		3
MATH_ALLS-3_theory-of-differential-geometry-MATH3D.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-differential-geometry-MATH3D\MATH_ALLS-3_theory-of-differential-geometry-MATH3D.pdf		4
MATH_ALLS-3_theory-of-linear-algebra-1.tex	pdflatex	success	0	False	build\compile-audit\standalone\MATH_ALLS-3_theory-of-linear-algebra-1\MATH_ALLS-3_theory-of-linear-algebra-1.pdf		5
