source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-analysis-functions-II.tex	ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	support of a distribution|delta|Dirac|singular distribution	support singular distributions	III/17	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii17-dossier-01
theory-of-analysis-functions-II.tex	ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(support of a distribution|delta|Dirac|singular distribution)	problem|exercise|solution|worked problem	III/17	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii17-dossier-02
theory-of-analysis-functions-II.tex	ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(support of a distribution|delta|Dirac|singular distribution)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/17	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii17-dossier-03
theory-of-analysis-FD2.tex	ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	Schwartz|tempered	Schwartz tempered distributions	III/18	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii18-dossier-01
theory-of-analysis-FD2.tex	ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Schwartz|tempered)	problem|exercise|solution|worked problem	III/18	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii18-dossier-03
theory-of-analysis-FD2.tex	ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Schwartz|tempered)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/18	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii18-dossier-04
theory-of-analysis-functions-II.tex	ANALYSIS	T04.SECTION	SECTION_OR_SUBSECTION	tempered|Schwartz	tempered distributions Schwartz	III/18	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii18-dossier-02
theory-of-analysis-functions-II.tex	ANALYSIS	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(tempered|Schwartz)	problem|exercise|solution|worked problem	III/18	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii18-dossier-05
theory-of-analysis-functions-II.tex	ANALYSIS	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(tempered|Schwartz)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/18	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii18-dossier-06
theory-of-analysis-FD2.tex	ANALYSIS	T04.SECTION	SECTION_OR_SUBSECTION	Fourier.*distribution|distribution.*Fourier	Fourier distributions	III/19	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii19-dossier-01
theory-of-analysis-FD2.tex	ANALYSIS	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Fourier.*distribution|distribution.*Fourier)	problem|exercise|solution|worked problem	III/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii19-dossier-04
theory-of-analysis-FD2.tex	ANALYSIS	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Fourier.*distribution|distribution.*Fourier)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii19-dossier-05
theory-of-analysis-functions-II.tex	ANALYSIS	T05.SECTION	SECTION_OR_SUBSECTION	Fourier transform of distribution	Fourier transform distributions	III/19	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii19-dossier-02
theory-of-analysis-functions-II.tex	ANALYSIS	T05.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Fourier transform of distribution)	problem|exercise|solution|worked problem	III/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii19-dossier-06
theory-of-analysis-functions-II.tex	ANALYSIS	T05.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Fourier transform of distribution)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii19-dossier-07
theory-of-disitrbutions.tex	FOURIER_DISTRIBUTIONS_PDE	T02.SECTION	SECTION_OR_SUBSECTION	tempered|Fourier transform	tempered Fourier distributions	III/19	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii19-dossier-03
theory-of-disitrbutions.tex	FOURIER_DISTRIBUTIONS_PDE	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(tempered|Fourier transform)	problem|exercise|solution|worked problem	III/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii19-dossier-08
theory-of-disitrbutions.tex	FOURIER_DISTRIBUTIONS_PDE	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(tempered|Fourier transform)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii19-dossier-09
theory-of-analysis-functions-II.tex	ANALYSIS	T06.SECTION	SECTION_OR_SUBSECTION	weak derivative	weak derivatives	III/20	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii20-dossier-01
theory-of-analysis-functions-II.tex	ANALYSIS	T06.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(weak derivative)	problem|exercise|solution|worked problem	III/20	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii20-dossier-02
theory-of-analysis-functions-II.tex	ANALYSIS	T06.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(weak derivative)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/20	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii20-dossier-03
theory-of-analysis-FD2.tex	ANALYSIS	T05.SECTION	SECTION_OR_SUBSECTION	Sobolev|weak derivative	Sobolev spaces	III/21	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii21-dossier-01
theory-of-analysis-FD2.tex	ANALYSIS	T05.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Sobolev|weak derivative)	problem|exercise|solution|worked problem	III/21	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii21-dossier-03
theory-of-analysis-FD2.tex	ANALYSIS	T05.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Sobolev|weak derivative)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/21	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii21-dossier-04
theory-of-analysis-functions-II.tex	ANALYSIS	T07.SECTION	SECTION_OR_SUBSECTION	Sobolev|W^{|H^	Sobolev spaces	III/21	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii21-dossier-02
theory-of-analysis-functions-II.tex	ANALYSIS	T07.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Sobolev|W^{|H^)	problem|exercise|solution|worked problem	III/21	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii21-dossier-05
theory-of-analysis-functions-II.tex	ANALYSIS	T07.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Sobolev|W^{|H^)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/21	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii21-dossier-06
theory-of-analysis-functions-II.tex	ANALYSIS	T08.SECTION	SECTION_OR_SUBSECTION	density|mollifier|approximation	density approximation Sobolev	III/22	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii22-dossier-01
theory-of-analysis-functions-II.tex	ANALYSIS	T08.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(density|mollifier|approximation)	problem|exercise|solution|worked problem	III/22	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii22-dossier-02
theory-of-analysis-functions-II.tex	ANALYSIS	T08.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(density|mollifier|approximation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/22	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii22-dossier-03
