chapter	ordinal	label	theorem	classification	proof_environment	body_sha256
IV/08	1	thm:iv08-01	Laurent theorem	proved	yes	a4c1a9311ba9e786b209da0384179e5d0035c5b47c61c719cbce4e1d4c45e480
IV/08	2	thm:iv08-02	Laurent coefficient formula	proved	yes	fe11d75158fd1698b9fb7b6e4975a6575121b37535aec3274b1d524342ae0fda
IV/08	3	thm:iv08-03	Uniqueness	proved	yes	b9d8627818dd7b3e46bbb10f0813dd377cdf31cf7af34b837f81dba183a60daa
IV/09	1	thm:iv09-01	Classification by Laurent series	proved	yes	f11dd4b4b475328f56de46998a6352fde31e180f12938ffd81809f7d91cf4085
IV/09	2	thm:iv09-02	Riemann removable singularity theorem	proved	yes	e1a13e1e41c2b64a631e4aba91c70e27371c83735671e978b6b5ad176d2e3f04
IV/09	3	thm:iv09-03	Pole-zero reciprocity	proved	yes	b3cab7e7307e4fd1d710b41d48adf3cd53c37b45ddf7036557a3c64def844b60
IV/10	1	thm:iv10-01	Residue theorem	proved	yes	a9d25c43b10728ebd5b5cd70c3c69a42ba93d3ad21a3e4d24061184bd0686a37
IV/10	2	thm:iv10-02	Simple-pole formula	proved	yes	baa2ad14dbf92c853cf87f22890649b53c12c705c88cd7f086158b667d8c4221
IV/10	3	thm:iv10-03	Higher-pole residue formula	proved	yes	7b1730002333234f396748a9de5a01ca4216030f39657fe8183b94d5eaf54d26
IV/10	4	thm:iv10-04	Global residue balance	proved	yes	54be10c97034ae31c9fa4dcd505c86ea0d9a7f477ef116fbdcabe6a0dd5eeb59
IV/11	1	thm:iv11-01	Upper-half-plane residue method	proved	yes	39b2bfb61bcb7fe28cfe026cc3d97cac7fde6fee9b9774749c7baa9f81547c7d
IV/11	2	thm:iv11-02	Unit-circle substitution	proved	yes	bbe360c38a6d56f8865812bf86fc0d788d9624bc98b6d414c1a90c43ab486fd9
IV/11	3	thm:iv11-03	Principal-value indentation rule	proved	yes	9dd434d5e13624a6b4aef67b869aba16a751ad0b54023356d236fc39d6292b3a
IV/12	1	thm:iv12-01	Integer-valued index	proved	yes	fd3f99828fa0662dffe9a475e37861cdf5cdd85a4eee91c62223238e23a02289
IV/12	2	thm:iv12-02	Argument principle	proved	yes	55cc854d84afd4d1ae980ff6aedfdb7165c01bcc0cfbc9092272c5b0e3254bf1
IV/12	3	thm:iv12-03	Homotopy invariance of index	proved	yes	21180ec2dd44832dc14dca50dc569643f7b813a60d9805d7460850efce1afde7
IV/12	4	thm:iv12-04	Local constancy of index	proved	yes	e5ebb40cd6db303e322fa05c11aabfe13c0b7ec4bb673ed20c5be7384a6fc1dc
IV/13	1	thm:iv13-01	Rouché theorem	proved	yes	78c8746dddd71b069510024ec04f52b9a3aca478209ae52fd3b7d8706ef9269c
IV/13	2	thm:iv13-02	Polynomial root localization	proved	yes	31aa9bd521ab7b26e86cc74e6ef4a758f431b6c50a77863000d1b6baa3272090
IV/13	3	thm:iv13-03	Perturbative persistence	proved	yes	347fbb7d3465aa18c3027b79f5bd79af7c28dd216c2321736cac332bead3a851
IV/14	1	thm:iv14-01	Logarithm branch criterion	proved	yes	072f1ff9b60bfd0ac95423da4bc339390985375f88e1dddbab2e1c4783e85089
IV/14	2	thm:iv14-02	Simply connected logarithm theorem	proved	yes	402a67e68f41a1924b15f5a201780102e4c9ac6e6f3ec24aff0e68bca2bf42ae
IV/14	3	thm:iv14-03	Root from logarithm	proved	yes	af632cad4e1fbb89ed58f6658b41bc6f8dd2c61f27ef05db89bd150d2c420b89
IV/15	1	thm:iv15-01	Uniqueness of analytic continuation	proved	yes	ecb515da313076e945c969e5d2b86be048ec17d130b0777b740b37d6cc38b343
IV/15	2	thm:iv15-02	Continuation along a fixed chain is unique	proved	yes	303a54f6dca4f5fb326ddece5b641a84ae828cd7f1b3fae0a0b23027510c36c0
IV/15	3	thm:iv15-03	Pathwise local uniqueness	proved	yes	1fd2f975ff2cc9f1bd3482bc8f5debe4b5f2bc923ae802d760b38627b96bb1e8
IV/16	1	thm:iv16-01	Three-point theorem	proved	yes	2bf2c03203141f9f2c9726a91739d77a0515e78f315ba2fa12ef65c2ca1c9aee
IV/16	2	thm:iv16-02	Cross-ratio invariance	proved	yes	a95bfaa58ada490a9971983070ab287e6dba6edba19543f8cf3730f35b4d11f9
IV/16	3	thm:iv16-03	Generalized-circle preservation	proved	yes	bdaf930035b12b74cbe65b5c0f3b5855e94612cf47d4ee80a1be4e930079ebf1
IV/17	1	thm:iv17-riemann-mapping	Riemann mapping theorem	standard external theorem	no	579528b41cfc580c60623e20a755f4cb35d64b56fd151c7b99a66d061935bdbf
IV/17	2	thm:iv17-01	Holomorphic maps are conformal off critical points	proved	yes	be8095348b3fa0bfd17cc7e25cf3c7730fc1ed552233b3777386140ee0c3d034
IV/17	3	thm:iv17-02	Schwarz lemma	proved	yes	478151666a0fc900301b561affc729750e1121853f8d1accd14074bf54cb4c36
IV/17	4	thm:iv17-03	Automorphisms of the disk	proved	yes	57fa596e20d9f96cf39acc656ec6423220f857a4b47d66607d754d224967c858
IV/17	5	thm:iv17-04	Normalized Riemann-map uniqueness	proved	yes	03e3b952fd7083ee8a41dcb3d25c180e17a0dd1d79aae60b887bf09ee0f77ed6
IV/18	1	thm:iv18-01	Angle-exponent relation	proved	yes	6bda7d945eabbfa27b3dbe72389542c352cdb123601a3241260e079bb33d96bf
IV/18	2	thm:iv18-02	Sum of exponents	proved	yes	03f710a9973884a8e648b970dadf5641634c70ec18a449619bca473e27fd0de1
IV/18	3	thm:iv18-03	Affine freedom	proved	yes	ece507075fee66de87a3028fd2f4cbc555c6d04410860e3fdb0d993b0304a721
IV/19	1	thm:iv19-01	Gamma functional equation	proved	yes	ac2175b676facdf0177a2bda5ed9a43ef85d00f1e6e6331869c39377000795da
IV/19	2	thm:iv19-02	Meromorphic continuation	proved	yes	2b8f1aa27327135ffd6f1ec6ffc45ee81d216820f8cdb7f8d7e070bdb7c2fb66
IV/19	3	thm:iv19-03	Residue formula	proved	yes	b0afc3935e9d3e5eeb8b9ad57ee470a3fc8137232515b0a74c2798d0e476eea4
IV/20	1	thm:iv20-01	Beta--Gamma identity	proved	yes	9723f753a982bb3003888a50a25aa5c8c973bd8f28fd5503341c94e073d87275
IV/20	2	thm:iv20-02	Trigonometric Beta formula	proved	yes	ecd926c656f0b625b3dfa44f37f01325b59d0e7f595db091596ade7241f4f276
IV/20	3	thm:iv20-03	Beta recurrence	proved	yes	cf9f1f8bdfb27d36b140190aa6b5f38cdf14ee12f94fddeb85d4a7740a8b39e6
IV/21	1	thm:iv21-01	Keyhole jump identity	proved	yes	c26bcdda91071a27df2cbfcc52d8b89f5ad10264925f8ae6b3df32bc87c816f3
IV/21	2	thm:iv21-02	Keyhole reduction principle	proved	yes	b401a93ce42451d4b190ea146e6d8afb94df0306b9b0e431a832926ad7fee8e8
IV/21	3	thm:iv21-03	Differentiation in exponent	proved	yes	fb93eed1b7fda1aaf57716ed1411abfc2a10bf5a16551ebcd14e03a09fa43591
IV/22	1	thm:iv22-01	Local coordinate from an unramified projection	proved	yes	ad4d1c4b263bd177484f536598fee0a1a8fe6ffca24f3ec9628f346fd3339897
IV/22	2	thm:iv22-02	Germ-surface principle	proved	yes	28cdeb9179663ea050b20142d56a9beeaadde53e482b4521b5f76dbadd169de9
IV/22	3	thm:iv22-03	Single-valued lift	proved	yes	5300a0342ad56a8b29a6a336423b54174de846502ce3b7cbc88e5e17a4008264
IV/23	1	thm:iv23-01	Unique path lifting	proved	yes	9a39d9b9872c32088f1b8a6ece2e68b852779ff11597981166672c30bb5cd55e
IV/23	2	thm:iv23-02	Homotopy invariance of monodromy	proved	yes	6568b65f9b9fb2b43ba432faf79df64902c32fbd52ddf289f0f13e97248b9189
IV/23	3	thm:iv23-03	Exponential covering	proved	yes	727b8bd962239a984b59f30e3a77bc3bd8487d721348d6048406022105228808
IV/24	1	thm:iv24-01	Local ramification model	proved	yes	8f155420daa3a51d95a93fbf0a7d1350df0a4461eca4a221abe444d8ae300d6c
IV/24	2	thm:iv24-02	Critical-point criterion	proved	yes	53fc99218898c3900992aa3407ca49bfde155f913f3be193e458d5eeb9c2fc89
IV/24	3	thm:iv24-03	Constant degree with multiplicity	proved	yes	a187c35b27b7a5b1670fc488605305feefd3eb056afe149aedf20ceb01156ac7
IV/25	1	thm:iv25-01	Holomorphic gluing theorem	proved	yes	9c93abc739fb17893e1f6fc2ac35047b9873ff3ce969ab3d5fbbcdeae86662cb
IV/25	2	thm:iv25-02	Sphere gluing	proved	yes	de4fa4e2dedb9baeb5a789939911671c7974df201f06a9db7a66b5d024b60b33
IV/25	3	thm:iv25-03	Cocycle consistency	proved	yes	9f16ec096f73a91b2212e5027fe93a5e864bd8c29ec60e8c9ba5d9a0a63c9f6a
IV/26	1	thm:iv26-01	Holomorphic functions on compact surfaces	proved	yes	80af92e2f224366e26669e31e153312a0455eac0d5edd279d3e4411ce71e613f
IV/26	2	thm:iv26-02	Riemann--Hurwitz formula	proved	yes	753245b32acfa9934cb7d264d956868d3d54cc62fed74b64fa0fba1282e30216
IV/26	3	thm:iv26-03	Genus of a double cover	proved	yes	036b30dc6783451f0a71c780ce6a856c581585062c1149cf0eac29e6afbf4809
IV/27	1	thm:iv27-01	Complex structure on the quotient	proved	yes	31d7e399dab164c55c6903a64c01c50579981c59528d8d2ba49c7b230e20bf63
IV/27	2	thm:iv27-02	Compactness of the torus	proved	yes	e96feff9f9f0876b40a1e2352a68e2e228545bca3e1a264c27dbe4cf98930478
IV/27	3	thm:iv27-03	Basis-change invariance	proved	yes	afb34b10dae4114a842f39e511d7d401448b082e251b31a737a8425a8055dfed
IV/28	1	thm:iv28-01	Residue sum theorem	proved	yes	9d2eb7cd969451c0c97269839c29350af4b9d1d668bad054677b4f7b3d238612
IV/28	2	thm:iv28-02	Equal zero and pole count	proved	yes	0aa2dd467db3d6bcdbaba3dfd8d361ebf75a9738380fd3e1725c9d0ca8f0f482
IV/28	3	thm:iv28-03	No single simple pole	proved	yes	908903f166ed7596c532b6e67483714646fdfab3e7f072bddd321f534a1f6b57
IV/29	1	thm:iv29-01	Normal convergence of the Weierstrass series	proved	yes	94e54625be8f3947eeb02c4041e68da6c82be9f3043910f48a5f29301fb68de6
IV/29	2	thm:iv29-02	Elliptic differential equation	proved	yes	38d9e77734a1fb96154e3ec7a02773b062c358f267a5b71cbf33cc7b34aa7e40
IV/29	3	thm:iv29-03	Half-period critical points	proved	yes	db8c07f0fc6ed13adcca7e98c5a09be5c3316bb9f9497d6e8c8bb5c51b5caae9
IV/29	4	thm:iv29-04	Degree-two map to the sphere	proved	yes	d8c581915ca94782ffa4a79055e0b18a566945ab0d9086f1983d9551c3ad3402
IV/30	1	thm:iv30-01	Weierstrass addition formula	proved	yes	be711b83ffcbad0b1b9b8ecf48f2abb1e11baa9b051e559485ca945c4b489de6
IV/30	2	thm:iv30-02	Duplication formula	proved	yes	7327232ab6b84f733b719a0f19ae03277b918663ef07232ba5a65594f9ac25d1
IV/30	3	thm:iv30-03	Chord interpretation	proved	yes	8f754ecc79ea7e4370eaf90e0cc64f4658a79b77d90bdf524fe8646a7465948a
IV/31	1	thm:iv31-01	Weierstrass map lies on the cubic	proved	yes	a53f16c03e36905c3148057bd68dfeff9f3e8d0ba4c37f551c566c7963565e8a
IV/31	2	thm:iv31-02	Extension at the origin	proved	yes	cc949dbbb521ce0500c59457a1719e9b29d7548b5ef6fc7dc18b21f223ba93b1
IV/31	3	thm:iv31-03	Torus-cubic biholomorphism	proved	yes	377c9536c5b5fbd50bea36cdd0a30a397319ce18fbdb61118f45cb876a04bc41
IV/31	4	thm:iv31-04	Compatibility of group laws	proved	yes	c4489cb9cdea6a37881d16da81df4cbcb174042f990194ee193f633a25d04f12
