chapter_code	canonical_path	file_exists	bytes	sections	labels	theorem_like	problems	exercises	hints	solutions	pedagogy_layer	figure_inputs	mapped_rules_declared	mapped_rules_actual	chapter_blockers
VI/33	books/vol06_algebraic_geometry/chapters/ch33_o_x_modules_quasicoherent/chapter.tex	YES	22336	22	20	12	0	16	16	16	FULL_SOLUTION_COUNT	7	3	3	-
VI/34	books/vol06_algebraic_geometry/chapters/ch34_graded_rings/chapter.tex	YES	20957	26	20	14	0	16	16	16	FULL_SOLUTION_COUNT	8	4	4	-
VI/35	books/vol06_algebraic_geometry/chapters/ch35_proj/chapter.tex	YES	26058	24	24	15	0	16	16	16	FULL_SOLUTION_COUNT	8	3	3	-
VI/36	books/vol06_algebraic_geometry/chapters/ch36_projective_space/chapter.tex	YES	25689	25	25	11	0	16	16	16	FULL_SOLUTION_COUNT	8	3	3	-
VI/37	books/vol06_algebraic_geometry/chapters/ch37_projective_schemes/chapter.tex	YES	25615	22	26	10	0	16	16	16	FULL_SOLUTION_COUNT	8	3	3	-
VI/38	books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/chapter.tex	YES	29882	22	33	16	0	16	16	16	FULL_SOLUTION_COUNT	8	6	6	-
VI/39	books/vol06_algebraic_geometry/chapters/ch39_weil_divisors/chapter.tex	YES	44349	21	97	37	17	40	40	16	MIXED_HINT_SOLUTION_LAYER	8	8	8	-
VI/40	books/vol06_algebraic_geometry/chapters/ch40_cartier_divisors/chapter.tex	YES	46539	21	99	39	17	40	40	16	MIXED_HINT_SOLUTION_LAYER	8	3	3	-
VI/41	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex	YES	42356	29	85	27	17	40	16	16	MIXED_HINT_SOLUTION_LAYER	8	3	3	-
VI/42	books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex	YES	41057	25	79	21	17	40	16	16	MIXED_HINT_SOLUTION_LAYER	8	6	6	-
VI/43	books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex	YES	41297	22	79	25	17	40	16	16	MIXED_HINT_SOLUTION_LAYER	8	10	10	-
VI/44	books/vol06_algebraic_geometry/chapters/ch44_cremona_transformations/chapter.tex	YES	42468	23	79	21	17	40	16	16	MIXED_HINT_SOLUTION_LAYER	8	3	3	-
VI/45	books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex	YES	44908	23	79	23	17	40	16	16	MIXED_HINT_SOLUTION_LAYER	8	3	3	-
VI/46	books/vol06_algebraic_geometry/chapters/ch46_flabby_sheaves/chapter.tex	YES	25751	13	87	26	17	40	16	16	MIXED_HINT_SOLUTION_LAYER	8	4	4	-
VI/47	books/vol06_algebraic_geometry/chapters/ch47_ech_cohomology/chapter.tex	YES	28735	15	87	26	17	40	16	16	MIXED_HINT_SOLUTION_LAYER	8	3	3	-
VI/48	books/vol06_algebraic_geometry/chapters/ch48_exact_sequences_and_cohomology/chapter.tex	YES	32130	15	87	27	17	40	16	16	MIXED_HINT_SOLUTION_LAYER	8	3	3	-
VI/49	books/vol06_algebraic_geometry/chapters/ch49_basic_vanishing_results/chapter.tex	YES	29261	15	87	27	17	40	16	16	MIXED_HINT_SOLUTION_LAYER	8	3	3	-
